
ID_RISPONDENTE_RILEV;COD_ANAGRAFICA_RISP;NOME_ANAGRAFICA_RISP;COD_REGIONE;COD_PROVINCIA;COD_COMUNE;ID_DUG;INDIRIZZO;NUM_CIVICO;LOCALITA;UBICAZIONE;CAP;TELEFONO;FAX;EMAIL;SITO_WEB;COD_REGIONE_SEDE_AMM;COD_PROVINCIA_SEDE_AMM;COD_COMUNE_SEDE_AMM;ID_DUG_SEDE_AMM;INDIRIZZO_SEDE_AMM;NUM_CIVICO_SEDE_AMM;LOCALITA_SEDE_AMM;UBICAZIONE_SEDE_AMM;CAP_SEDE_AMM;TELEFONO_SEDE_AMM;FAX_SEDE_AMM;EMAIL_SEDE_AMM;NOTE;COGNOME_PERSONA_FISICA;NOME_PERSONA_FISICA;CAMPO_JOLLY1;CAMPO_JOLLY2;CAMPO_JOLLY3;ID_TIPO_ACQUISIZIONE;ID_STATO_RISPONDENTE;ID_TIPO_ESITO;ID_UTENTE;LIV_MONITORAGGIO_1;LIV_MONITORAGGIO_2;LIV_MONITORAGGIO_3;LIV_MONITORAGGIO_4
17;CAV1300001;Centro Antiviolenza Donnattiva;13;069;099;;Via Anelli;20;Vasto;;66054;0873366152;;donna.attiva@comune.vasto.ch.it;;;;;;;;;;;;;;;UTE1300001;;;;;1;1;;CAV1300001;13;13;1;2
18;CAV1300002;Centro Anitviolenza Donne Non sei sola;13;069;058;;Via Giovanni XIII;80;Ortona;;66026;0859064550;;antiviolenzanonseisola@gmail.com;;;;;;;;;;;;;;;UTE1300002;;;;;1;1;;CAV1300002;13;13;1;2
19;CAV1300003;Centro Antiviolena Donatella Tellini le melusine;13;066;049;;Via Angelo Colagrande;2/A-2/B;L'Aquila;;67100;3400905655;;centroantiviolenza.laquila@gmail.com;;;;;;;;;;;;;;;UTE1300003;;;;;1;1;;CAV1300003;13;13;1;2
20;CAV1300004;Centro Antiviolenza Donn.�;13;069;058;;Corso Vittorio Emanuele;3;Ortona;;66026;0859121231;;centro.apsdonne@gmail.com;;;;;;;;;;;;;;;UTE1300004;;;;;1;1;;CAV1300004;13;13;1;2
21;CAV1300005;Centro Antiviolenza Ananke Pescara;13;068;028;;Via Tavo;248;Pescara;;65128;0854283851;0854315294;info@centroananke.it;;;;;;;;;;;;;;;UTE1300005;;;;;1;1;;CAV1300005;13;13;1;2
22;CAV1300006;Centro Antiviolenza La Libellula;13;066;098;;Via Pola;64/G;Sulmona;;67039;0864566918;;cav.libellula@alice.it;;;;;;;;;;;;;;;UTE1300006;;;;;1;1;;CAV1300006;13;13;1;2
23;CAV1300007;Centro Anitiviolenza La Fenice;13;067;041;;Via Trento e Trieste;8;Teramo;;64100;0861029009;;lafenice@provincia.teramo.it;;;;;;;;;;;;;;;UTE1300007;;;;;1;1;;CAV1300007;13;13;1;2
24;CAV1300008;Centro Antiviolenza Donna Alpha;13;069;022;;Via Spaventa;47;Chieti;;;0871562858;;alphacooperativasociale@gmail.com;;;;;;;;;;;;;;;UTE1300008;;;;;1;1;;CAV1300008;13;13;1;2
25;CAV1300009;Centro Antiviolenza Dafne;13;069;046;;Via dei Frentani;54;Lanciano;;66034;087240854;;dafneonlus@gmail.com;;;;;;;;;;;;;;;UTE1300009;;;;;1;1;;CAV1300009;13;13;1;2
26;CAV1700001;Centro Antiviolenza Convenzione Comune Potenza e Ass. Telefono Donna;17;076;063;;Via dei Ligustri;32;Potenza;;85100;097155551;;info@telefonodonnapotenza.it;;;;;;;;;;;;;presidente@telefonodonnapotenza.it;info@telefonodonnapotenza.it sostituisce presidente@telefonodonnapotenza.it come da telefonata 25.07.2024. FG;UTE1700001;;;;;1;1;;CAV1700001;17;17;1;2
27;CAV1800001;Centro antiviolenza Angela Morabito;18;080;063;;Via Vallone Mariannazzo;snc;Reggio Calabria;;89123;0965890135  800170940;0965890769;piccolaopera@pec.it;;;;;;;;;;;;;;;UTE1800001;;;;;1;1;;CAV1800001;18;18;1;2
28;CAV1800002;Centro ascolto Ariel;18;080;063;;Via Scacchieri;5;Gallico (RC);;89100;0965371373 800435325;;centroariel@pec.it;;;;;;;;;;;;;centroascoltoarielrc@gmail.com;;UTE1800002;;;;;1;1;;CAV1800002;18;18;1;2
29;CAV1800003;Centro Aiuto Donna;18;079;023;;C.da Corvo via della Solidariet�;1;Catanzaro;;88100;0961789006 0961730405 800909194;;cittasolidale@arubapec.it;;;;;;;;;;;;;;;UTE1800003;;;;;1;1;;CAV1800003;18;18;1;2
30;CAV1800004;Centro Antiviolenza Demetra;18;079;160;;Via Trento;51;Lamezia Terme;;88046;3487913804 3336989921 3277872647  800550403;;assmagomerlino@arubapec.it;;;;;;;;;;;;;;;UTE1800004;;;;;1;1;;CAV1800004;18;18;1;2
31;CAV1800005;Centro contro la violenza alle donne Roberta Lanzino;18;078;045;;Via Ernesto Fagiani;17;Cosenza;;87100;098436311 3298981723;;centroantiviolenzalanzino@pec.it;;;;;;;;;;;;;;;UTE1800005;;;;;1;1;;CAV1800005;18;18;1;2
32;CAV1800006;Centro antiviolenza Mondo Rosa;18;079;023;;via Lucrezia della Valle;106;Catanzaro;;88100;0961769722  0961552036  800757657;;ccscatanzaro@pec.it;;;;;;;;;;;;;;;UTE1800006;;;;;1;1;;CAV1800006;18;18;1;2
33;CAV1500001;Centro Antiviolenza Ambito A02;15;064;049;;VIA TRAVERSA 131/BIS;131/bis;Mercogliano;;83013;0825682501;;centroantiviolenza@cooperativalagoccia.it;;;;;;;;;;;;;;;UTE1500001;;;;;1;1;;CAV1500001;15;15;1;2
34;CAV1500002;Di-Donna;15;064;092;;VIA QUADRIVIO P.O. G. CRISCUOLI;;Sant'Angelo dei Lombardi;;83054;0827277334 082727167;;centroantiviolenzadidonna@gmail.com;;;;;;;;;;;;;;;UTE1500002;;;;;1;1;;CAV1500002;15;15;1;2
35;CAV1500003;Alice E Il Bianconiglio;15;064;039;;VIA PIAVE;29/D;Avellino;;83100;0825784082;;centroantiviolenzaa04@gmail.com;;;;;;;;;;;;;;;UTE1500003;;;;;1;1;;CAV1500003;15;15;1;2
40;CAV1500008;Frida;15;062;023;;CORSO MARZIO CARAFA;;Cerreto Sannita;;82032;08241623142;;antiviolenzafrida@libero.it;;;;;;;;;;;;;;;UTE1500008;;;;;1;1;;CAV1500008;15;15;1;2
42;CAV1500010;Eva;15;061;048;;Via Amendola;15;Maddaloni;;81024;0823840600;;antiviolenzaeva@libero.it;;;;;;;;;;;;;info@cooperativaeva.com;;UTE1500010;;;;;1;1;;CAV1500010;15;15;1;2
50;CAV1500018;Lorena Casa Delle Donne Contro La Violenza;15;061;019;;Via Benevento;26;Casal di Principe;;81033;0818921806;;casalorena@libero.it;;;;;;;;;;;;;;;UTE1500018;;;;;1;1;;CAV1500018;15;15;1;2
51;CAV1500019;Aradia;15;061;083;;VIA JAN PALACH;10 SC B;Santa Maria Capua Vetere;;81055;0823840600;;coopeva@tin.it;;;;;;;;;;;;;;;UTE1500019;;;;;1;1;;CAV1500019;15;15;1;2
53;CAV1500021;Centro Antiviolenza V.E.R.I.;15;061;052;;VIA AMEDEO;;Mondragone;;81034;800974216;;associazione.veri@gmail.com;;;;;;;;;;;;;;;UTE1500021;;;;;1;1;;CAV1500021;15;15;1;2
59;CAV1500027;Centro Antiviolenza Libera-Mente Donna;15;063;073;;CASA COMUNALE FRATTAMAGGIORE;;Frattamaggiore;;80027;800192740;;centroantiviolenzan17@consorzioluna.it;;;;;;;;;;;;;;;UTE1500027;;;;;1;1;;CAV1500027;15;15;1;2
62;CAV1500030;La Casa Di Marinella;15;063;001;;VIA A. TUFANO( PARCO CRISTINA);;Acerra;;80011;3474530563;;casadimarinellaonlus@libero.it;;;;;;;;;;;;;;;UTE1500030;;;;;1;1;;CAV1500030;15;15;1;2
69;CAV1500037;CENTRO ANTIVIOLENZA  COMUNE DI MINORI CIF -CENTRO ITALIANO FEMMINILE SEZ.MINORI;15;065;068;;Via Roma;32;Minori;;;089853210;;centroantiviolenzacif@gmail.com;;;;;;;;;;;;;;;UTE1500037;;;;;1;1;;CAV1500037;15;15;1;2
70;CAV1500038;CENTRO ANTIVIOLENZA  COMUNE DI CAVA DE TIRRENI;15;065;037;;Via A. Salsano;;Cava de' Tirreni;;84013;3473998842;;centroantiviolenzafrida@gmail.com;;;;;;;;;;;;;;;UTE1500038;;;;;1;1;;CAV1500038;15;15;1;2
73;CAV1500041;Centro Antiviolenza Linearosa;15;065;116;;Via G. Quagliarello;;Salerno;;;089254242;;spaziodonna2@virgilio.it;;;;;;;;;;;;;;;UTE1500041;;;;;1;1;;CAV1500041;15;15;1;2
74;CAV1500042;Centro Antiviolenza Malala;15;065;013;;P.ZZA ETTORE IMPERIO;6;Mercato San Severino;;84085;089826843;;isolachece2003@libero.it;;;;;;;;;;;;;;;UTE1500042;;;;;1;1;;CAV1500042;15;15;1;2
75;CAV1500043;Centro Antiviolenza Aretusa;15;065;010;;Via Stazione;;Atena Lucana;;84030;09751966166;;cavaretusa@gmail.com;;;;;;;;;;;;;;;UTE1500043;;;;;1;1;;CAV1500043;15;15;1;2
76;CAV0800001;Centro Antiviolenza Udi di Bologna;08;037;006;;;;;;;051232313;;udibo@libero.it;;;;;;;;;;;;;;;UTE0800001;;;;;1;1;;CAV0800001;08;08;1;2
77;CAV0800002;SOS DONNA;08;037;006;;;;;;;051434345;;sosdonna.bo@gmail.com;;;;;;;;;;;;;;;UTE0800002;;;;;1;1;;CAV0800002;08;08;1;2
78;CAV0800003;Casa delle donne per non subire violenza;08;037;006;;;;;;;051333173;;casadonne@women.it;;;;;;;;;;;;;;;UTE0800003;;;;;1;1;;CAV0800003;08;08;1;2
79;CAV0800004;CHIAMA chiAMA;08;037;006;;;;;;;3371201876;;chiamachiama@mondodonna-onlus.it;;;;;;;;;;;;;;;UTE0800004;;;;;1;1;;CAV0800004;08;08;1;2
80;CAV0800005;Centro Donna � Centro Antiviolenza del Comune di Cesena;08;040;007;;;;;;;0547355738;;centrodonna@comune.cesena.fc.it;;;;;;;;;;;;;;;UTE0800005;;;;;1;1;;CAV0800005;08;08;1;2
81;CAV0800006;Centro Donna Giustizia di Ferrara;08;038;008;;;;;;;0532247440;;udv@centrodonnagiustizia.it;;;;;;;;;;;;;;;UTE0800006;;;;;1;1;;CAV0800006;08;08;1;2
82;CAV0800007;Centro Donna Comune di Forl�;08;040;012;;;;;;;0543712660;;centrodonna@comune.forli.fc.it;;;;;;;;;;;;;;;UTE0800007;;;;;1;1;;CAV0800007;08;08;1;2
83;CAV0800008;Trama di Terre;08;037;032;;;;;;;3935596688;;antiviolenza@tramaditerre.org;;;;;;;;;;;;;;;UTE0800008;;;;;1;1;;CAV0800008;08;08;1;2
84;CAV0800009;PerLeDonne;08;037;032;;;;;;;3703252034;;centroantiviolenzaimola@gmail.com;;;;;;;;;;;;;;;UTE0800009;;;;;1;1;;CAV0800009;08;08;1;2
85;CAV0800010;Centro Antiviolenza;08;036;023;;;;;;;059361050;;most@donnecontroviolenza.it;;;;;;;;;;;;;;;UTE0800010;;;;;1;1;;CAV0800010;08;08;1;2
86;CAV0800011;Associazione Centro Antiviolenza;08;034;027;;;;;;;0521238885;;acavpr@gmail.com;;;;;;;;;;;;;;;UTE0800011;;;;;1;1;;CAV0800011;08;08;1;2
87;CAV0800012;Centro antiviolenza di Piacenza Associazione la Citt� delle donne ODV;08;033;032;;;;;;;0523334833;;centroantiviolenzapc.donne@gmail.com;;;;;;;;;;;;;;;UTE0800012;;;;;1;1;;CAV0800012;08;08;1;2
88;CAV0800013;Linea Rosa;08;039;014;;;;;;;0544216316;;linearosa@racine.ra.it;;;;;;;;;;;;;;;UTE0800013;;;;;1;1;;CAV0800013;08;08;1;2
89;CAV0800014;Casa delle donne;08;035;033;;;;;;;0522585643;;info@nondasola.it;;;;;;;;;;;;;;;UTE0800014;;;;;1;1;;CAV0800014;08;08;1;2
90;CAV0800015;Rompi Il Silenzio;08;099;014;;;;;;;3465016665;;rompiilsilenzio@virgilio.it;;;;;;;;;;;;;;;UTE0800015;;;;;1;1;;CAV0800015;08;08;1;2
91;CAV0800016;Vivere Donna;08;036;005;;;;;;;059653203;;viveredonna@gmail.com;;;;;;;;;;;;;;;UTE0800016;;;;;1;1;;CAV0800016;08;08;1;2
92;CAV0800017;Paola Manzini;08;036;046;;;;;;;059777684;;centroantiviolenza@terredicastelli.mo.it;;;;;;;;;;;;;;;UTE0800017;;;;;1;1;;CAV0800017;08;08;1;2
93;CAV0800018;Demetra Donne In Aiuto;08;039;012;;;;;;;054527168;;demetradonneinaiuto@virgilio.it;;;;;;;;;;;;;;;UTE0800018;;;;;1;1;;CAV0800018;08;08;1;2
94;CAV0800019;Sos Donna - Centro Antiviolenza a favore delle donne;08;039;010;;;;;;;054622060;;fenice@racine.ra.it;;;;;;;;;;;;;;;UTE0800019;;;;;1;1;;CAV0800019;08;08;1;2
95;CAV0600001;Associazione Da Donna a Donna Onlus O.d.V.;06;031;016;;P.zza G.Furlan;2;;;;0481474700;;info@dadonnaadonna.org;;;;;;;;;;;;;;;UTE0600001;;;;;1;1;;CAV0600001;06;06;1;2
96;CAV0600002;G.O.A.P.- Onlus;06;032;006;;via San Silvestro;3-5;;;;0403478827;;info@goap.it;;;;;;;;;;;;;;;UTE0600002;;;;;1;1;;CAV0600002;06;06;1;2
97;CAV0600003;Associazione di volontariato IOTUNOIVOI Donne Insieme;06;030;129;;via Martignacco;23;;;;0423421011  3351389212;;antigone@iotunoivoi.it;;;;;;;;;;;;;;;UTE0600003;;;;;1;1;;CAV0600003;06;06;1;2
98;CAV0600004;Associazione S.O.S. ROSA-Onlus;06;031;007;;via Diaz;5;;;;048132954;;sosrosagorizia@gmail.com;;;;;;;;;;;;;;;UTE0600004;;;;;1;1;;CAV0600004;06;06;1;2
99;CAV0600005;Associazione Voce donna;06;093;033;;viale Dante;19;;;;043421779;;vocedonnapn@gmail.com;;;;;;;;;;;;;;;UTE0600005;;;;;1;1;;CAV0600005;06;06;1;2
