TIPO_ENTE,COD,DENOMINAZIONE,COMUNE,PROVINCIA,REGIONE
Comunità di montagna,1,Comunità del Collio,Capriva del Friuli,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Cormons,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Dolegna del Collio,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Farra d'Isonzo,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Mariano del Friuli,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Medea,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Moraro,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,Mossa,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,San Floriano del Collio-Števerjan,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,1,Comunità del Collio,San Lorenzo Isontino,Gorizia,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Arba,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Castelnovo del Friuli,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Cavasso Nuovo,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Clauzetto,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Fanna,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Maniago,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Meduno,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Montereale Valcellina,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Pinzano al Tagliamento,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Sequals,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Spilimbergo,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Travesio,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Vajont,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Vito d'Asio,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,2,Comunità di Montagna delle Prealpi Friulane Orientali,Vivaro,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,3,Comunità Sile,Azzano Decimo,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,3,Comunità Sile,Chions,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,3,Comunità Sile,Pravisdomini,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,4,"Magnifica Comunità di Montagna Dolomiti Friulane, Cavallo e Cansiglio",Andreis,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,4,"Magnifica Comunità di Montagna Dolomiti Friulane, Cavallo e Cansiglio",Aviano,Pordenone,Friuli-Venezia Giulia
Comunità di montagna,4,"Magnifica Comunità di Montagna Dolomiti Friulane, Cavallo e Cansiglio",Barcis,Pordenone,Friuli-Venezia Giulia
