file,nome,tipo,comune,comune_runts,comune_fonte,comune_matchato,match_comune,codice_comune,codice_provincia,provincia,sigla_provincia,codice_regione,regione
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Regione,Regioni/Province Autonome,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Centro donne contro la violenza,CAV/Centri Antiviolenza,,AOSTA,comune_runts,Aosta,exact,007003,007,Valle d'Aosta/Vallée d'Aoste,AO,02,Valle d'Aosta/Vallée d'Aoste
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Centro antiviolenza,CAV/Centri Antiviolenza,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Osservatorio regionale per il contrasto alla violenza di genere,Altro,,,nome,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Forum permanente contro le molestie e la violenza di genere,CAV/Centri Antiviolenza,,,nome,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Giunta regionale,Regioni/Province Autonome,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Consiglio regionale,Regioni/Province Autonome,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,enti locali,Comuni,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Pubbliche amministrazioni,Altro,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,istituzioni pubbliche e private,Altro,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,realtà associative e di volontariato,Ente terzo settore - ETS (iscritto al RUNTS),,,nome,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Consultorio regionale per le pari opportunità,Organismi di parità,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Azienda regionale sanitaria USL della Valle d'Aosta,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Struttura regionale competente in materia di politiche familiari e sociali,Altro,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Consiglio permanente degli enti locali (CPEL),Altro,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Pronto Soccorso,"Ospedale (Pronto soccorso, ecc.)",,VERRES,comune_runts,Verrès,exact,007073,007,Valle d'Aosta/Vallée d'Aoste,AO,02,Valle d'Aosta/Vallée d'Aoste
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,consigliere regionale di parità,Organismi di parità,,,nome,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Consulta per le pari opportunità,Organismi di parità,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Servizio Migranti (ex CCIE),Altro,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Fondazione Caritas,Ente terzo settore - ETS (iscritto al RUNTS),,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Università della Valle d'Aosta/Université de la Vallée d'Aoste,Università,,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,servizi socio-sanitari territoriali,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,Fondazione opere Caritas,Ente terzo settore - ETS (iscritto al RUNTS),,,none,,none,,,,,,
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,struttura regionale competente,Altro,,,none,,none,,,,,,
