comune,totale_soggetti,firmatari,proponenti,attori,gestione,monitoraggio,coordinamento,governance_totale,governance_generica,ente_capofila
Abbiategrasso,9,9,0,9,1,0,0,1,0,0
Acquaviva delle Fonti,1,0,0,0,0,0,0,0,0,0
Adria,1,0,0,1,0,0,0,0,0,0
Adro,1,1,0,1,0,0,0,0,0,0
Agliana,1,1,0,1,0,0,0,0,0,0
Alba,3,3,0,3,0,0,0,0,0,0
Alba Adriatica,1,1,0,1,0,0,0,0,0,0
Albenga,1,0,0,1,0,0,0,0,0,0
Alberobello,3,3,0,3,0,0,0,0,0,0
Albizzate,1,0,0,1,0,0,0,0,0,0
Alfedena,1,1,0,0,0,0,0,0,0,0
Alghero,1,1,0,1,0,0,0,0,0,0
Alto Reno Terme,1,1,0,1,0,0,0,0,0,0
Amandola,2,1,0,0,0,0,0,0,0,0
Ambivere,1,1,0,1,0,0,0,0,0,0
Amelia,1,0,0,1,0,0,0,0,0,0
Ancona,27,24,0,27,3,0,1,4,0,0
Andria,6,4,1,4,2,0,0,2,0,0
Annone Veneto,1,1,0,1,0,0,0,0,0,0
Anzio,1,0,0,0,0,0,0,0,0,0
Anzola dell’Emilia,1,1,0,1,0,0,0,0,0,0
Aosta,1,0,0,0,0,0,0,0,0,0
Arce,1,1,0,1,0,0,0,0,0,0
Arcidosso,1,0,0,1,0,0,0,0,0,0
Arese,2,1,0,1,0,0,0,0,0,0
Arezzo,13,7,0,7,0,0,2,2,0,0
Argelato,1,1,0,1,0,0,0,0,0,0
Argenta,1,0,0,1,0,0,0,0,0,0
Ariccia,1,1,0,1,0,0,0,0,0,0
Arona,3,2,0,2,0,0,0,0,0,0
Arsago Seprio,1,0,0,1,0,0,0,0,0,0
Arzignano,1,0,0,1,0,0,1,1,0,1
Ascoli Piceno,7,7,0,7,0,0,0,0,0,1
Asiago,2,0,0,2,0,0,0,0,0,0
Asola,1,1,1,1,0,0,0,0,0,0
Asolo,3,3,3,3,0,0,0,0,0,0
Assago,2,2,0,2,0,0,0,0,0,0
Assisi,1,0,0,1,0,0,0,0,0,0
Atri,2,2,0,2,0,0,0,0,0,0
Avezzano,1,1,0,1,0,0,0,0,0,0
Avigliana,1,0,0,1,0,0,0,0,0,0
Azzano Decimo,1,1,0,1,0,0,0,0,0,1
Azzano Mella,1,1,0,1,0,0,0,0,0,0
Azzate,1,1,0,1,0,0,0,0,0,0
Baranzate,2,1,0,1,0,0,0,0,0,0
Barbariga,1,1,0,1,0,0,0,0,0,0
Bareggio,1,1,0,1,0,0,0,0,0,0
Bari,10,5,0,9,0,0,0,0,0,0
Baricella,1,1,0,1,0,0,0,0,0,0
Barletta,4,2,0,2,1,0,0,1,0,0
Barrea,1,1,0,0,0,0,0,0,0,0
Barzio,1,1,0,1,0,0,0,0,0,0
Basciano,1,1,0,1,0,0,0,0,0,0
Basiglio,1,1,0,1,0,0,0,0,0,0
Bassano Romano,1,0,0,0,0,0,0,0,0,0
Bassano del Grappa,8,4,0,6,0,0,0,0,0,1
Bellano,1,1,0,1,0,0,0,0,0,0
Bellinzago lombardo,1,1,0,0,0,0,0,0,0,0
Belluno,1,0,0,0,0,0,0,0,0,0
Bentivoglio,1,1,0,1,0,0,0,0,0,0
Bergamo,40,38,3,40,1,0,0,1,0,0
Berlingo,1,1,0,1,0,0,0,0,0,0
Besnate,1,0,0,1,0,0,0,0,0,0
Biella,40,18,1,34,3,0,0,3,0,0
Bientina,1,1,0,1,0,0,0,0,0,0
Binasco,1,1,0,1,0,0,0,0,0,0
Binetto,1,0,0,0,0,0,0,0,0,0
Bisceglie,1,0,0,0,0,0,0,0,0,0
Blera,1,0,0,0,0,0,0,0,0,0
Bollate,5,5,0,5,0,0,0,0,0,0
Bologna,38,22,16,37,2,0,1,3,0,0
Bonate Sopra,1,1,0,1,0,0,0,0,0,0
Bonate Sotto,1,1,0,1,0,0,0,0,0,0
Bondeno,1,0,0,1,0,0,0,0,0,0
Borgia,2,0,0,0,0,0,0,0,0,0
Borgo San Giacomo,1,1,0,1,0,0,0,0,0,0
Borgo San Lorenzo,1,0,0,0,0,0,0,0,0,0
Borgo Tossignano,1,1,0,1,0,0,0,0,0,0
