regione,totale_soggetti,firmatari,proponenti,attori,gestione,monitoraggio,coordinamento,governance_totale,governance_generica,ente_capofila
Abruzzo,225,212,56,210,3,0,5,6,0,7
Basilicata,3,1,0,2,0,0,0,0,0,0
Calabria,117,68,9,96,1,0,2,3,0,1
Emilia-Romagna,310,237,67,310,15,0,8,22,0,9
Friuli-Venezia Giulia,89,84,0,56,1,0,1,2,0,7
Lazio,353,226,36,264,32,0,4,36,0,2
Liguria,43,34,0,39,2,0,0,2,0,5
Lombardia,756,634,231,710,20,2,14,36,0,30
Marche,124,103,5,104,3,0,3,6,0,3
Piemonte,195,132,48,166,11,1,4,16,0,2
Puglia,152,80,21,126,5,0,5,10,0,2
Sardegna,79,73,0,79,0,0,0,0,0,0
Toscana,226,125,15,199,5,0,5,10,0,1
Umbria,37,0,0,37,0,0,0,0,0,0
Valle d'Aosta/Vallée d'Aoste,2,0,0,1,0,0,0,0,0,0
Veneto,209,146,18,201,2,0,2,3,0,5
