file,nome,tipo,comune,provincia,sigla_provincia,regione,livello_territoriale,lat,lon,ha_coordinate,ruolo,governance_detail,is_firmatario,is_proponente,is_attore,is_gestione,is_monitoraggio,is_coordinamento,is_governance,is_governance_generica,is_ente_capofila,ente_capofila,note,id_soggetto_geo
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Comune di Bra,Comuni,Bra,Cuneo,CN,Piemonte,comune,44.6981854,7.8546811,1,"firmatario, proponente, attore, gestione, ente_capofila",gestione,1,1,1,1,0,0,1,0,1,Comune di Bra,"Ente capofila, soggetto gestore dei Servizi Socio Assistenziali, firmatario del protocollo",comune di bra | comuni | bra | cuneo | piemonte | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Comune di Alba,Comuni,Alba,Cuneo,CN,Piemonte,comune,44.7010636,8.035865,1,"firmatario, attore",,1,0,1,0,0,0,0,0,0,,Firmatario del protocollo,comune di alba | comuni | alba | cuneo | piemonte | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Consorzio Socio Assistenziale Alba Langhe Roero,CAV/Centri Antiviolenza,Alba,Cuneo,CN,Piemonte,comune,44.7010636,8.035865,1,"firmatario, attore",,1,0,1,0,0,0,0,0,0,,Firmatario del protocollo,consorzio socio assistenziale alba langhe roero | cav/centri antiviolenza | alba | cuneo | piemonte | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,ASL CN2,ASL (consultori familiari e altri servizi territoriali),Alba,Cuneo,CN,Piemonte,comune,44.7010636,8.035865,1,"firmatario, attore",,1,0,1,0,0,0,0,0,0,,Firmatario del protocollo,asl cn2 | asl (consultori familiari e altri servizi territoriali) | alba | cuneo | piemonte | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Associazione MAI+SOLE,ORGANIZZAZIONI DI VOLONTARIATO,Savigliano,Cuneo,CN,Piemonte,comune,44.6479622,7.6574521,1,"firmatario, attore",,1,0,1,0,0,0,0,0,0,,Firmatario del protocollo,associazione mai+sole | organizzazioni di volontariato | savigliano | cuneo | piemonte | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Regione Piemonte,Regioni/Province Autonome,,,,,regione,,,0,,,0,0,0,0,0,0,0,0,0,,,regione piemonte | regioni/province autonome |  |  |  | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Direzione Coesione Sociale,Altro,,,,,comune,,,0,,,0,0,0,0,0,0,0,0,0,,"Struttura della Regione Piemonte, citata come ente erogatore e destinataria della proposta progettuale",direzione coesione sociale | altro |  |  |  | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,CAV n. 10/A,CAV/Centri Antiviolenza,,,,,comune,,,0,,,0,0,0,0,0,0,0,0,0,Consorzio Socio Assistenziale del Cuneese,Sportelli decentrati dei firmatari; CAV provinciale,cav n. 10/a | cav/centri antiviolenza |  |  |  | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Consorzio Socio Assistenziale del Cuneese,CAV/Centri Antiviolenza,,,,,comune,,,0,ente_capofila,,0,0,0,0,0,0,0,0,1,,Ente capofila del CAV n. 10/A,consorzio socio assistenziale del cuneese | cav/centri antiviolenza |  |  |  | 01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt
01_2406_rta_01_240904120005_4166---protocollo.txt,Amministrazione Provinciale di Biella,Province/Città metropolitane,Biella,Biella,BI,Piemonte,provincia,45.571168,8.100825,1,"firmatario, proponente, attore",,1,1,1,0,0,0,0,0,0,,Firmatario del protocollo; promuove azioni sul territorio,amministrazione provinciale di biella | province/citta metropolitane | biella | biella | piemonte | 01_2406_rta_01_240904120005_4166---protocollo.txt
01_2406_rta_01_240904120005_4166---protocollo.txt,Azienda Sanitaria Locale di Biella,ASL (consultori familiari e altri servizi territoriali),Biella,Biella,BI,Piemonte,comune,45.5665653,8.0538009,1,"firmatario, attore",,1,0,1,0,0,0,0,0,0,,"Firmatario del protocollo; tramite Presidio Ospedaliero, Consultorio Familiare di Biella e S.C. Neuropsichiatria Infantile",azienda sanitaria locale di biella | asl (consultori familiari e altri servizi territoriali) | biella | biella | piemonte | 01_2406_rta_01_240904120005_4166---protocollo.txt
