file,attore_1,attore_2
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Ambito Distrettuale Sociale n.11 ""Frentano"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Assistenza consultoriale Interdistrettuale
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Associazione ""DeA- Donne e Aiuto"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Associazione ""I Colori dell'Iride"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Associazione Culturale Maria Luisa Brasile
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Associazione Dafne Onlus
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Associazione Donn'e di Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Associazione di promozione sociale Donn.e
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Azienda Sanitaria ASL 02 Lanciano-Vasto-Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,CRI - Casa Rifugio di Orsogna
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Caritas Diocesana Arcidiocesi Lanciano-Vasto-Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Casa Circondariale di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Centro Antiviolenza ""Dafne"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Centro di salute mentale Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Centro per l'Impiego di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comando Compagnia Carabinieri Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comando provinciale dei carabinieri di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Castel Frentano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Fossacesia
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Frisa
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Mozzagrogna
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Rocca San Giovanni
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di San Vito Chietino
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Santa Maria Imbaro
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Comune di Treglio
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Consulta Giovanile Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Consultorio Famigliare A.Ge
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Cooperativa ""ICSole"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Distretto sanitario territoriale Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituti di istruzione superiore ""Acciaiuli-Enaudi"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Comprensivo ""Don Milani"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Comprensivo ""G. D'Annunzio"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Comprensivo ""Mario Bosco"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Comprensivo ""Umberto I"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Comprensivo n.1 ""Matilde Serao"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Comprensivo n.2 "" F.P. Tosti"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Istruzione Superiore ""VITTORIO EMANUELE II"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Professionale per i Servizi Commerciali e Socio -Sanitari ""DE GIORGIO"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Secondario Superiore ""DE TITTA- FERMI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto Tecnico Tecnologico ""L. DA VINCI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Istituto di istruzione superiore ""Alessandra Volta"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,"Liceo Scientifico ""G. GALILEI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,PRonto SOKCORSO G. BERNABEO
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Prefettura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Procura della Repubblica di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Questura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Questura di Chieti -Polizia di Stato
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Rotary Club di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Soggiorno Proposta Onlus
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Sportello SenzaViolenza Donne&Minori
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,ASL N. 2 Abruzzo - Lanciano Chieti Vasto,Tribunale di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Assistenza consultoriale Interdistrettuale
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Associazione ""DeA- Donne e Aiuto"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Associazione ""I Colori dell'Iride"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Associazione Culturale Maria Luisa Brasile
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Associazione Dafne Onlus
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Associazione Donn'e di Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Associazione di promozione sociale Donn.e
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Azienda Sanitaria ASL 02 Lanciano-Vasto-Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",CRI - Casa Rifugio di Orsogna
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Caritas Diocesana Arcidiocesi Lanciano-Vasto-Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Casa Circondariale di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Centro Antiviolenza ""Dafne"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Centro di salute mentale Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Centro per l'Impiego di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comando Compagnia Carabinieri Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comando provinciale dei carabinieri di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Castel Frentano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Fossacesia
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Frisa
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Mozzagrogna
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Rocca San Giovanni
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di San Vito Chietino
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Santa Maria Imbaro
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Comune di Treglio
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Consulta Giovanile Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Consultorio Famigliare A.Ge
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Cooperativa ""ICSole"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Distretto sanitario territoriale Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituti di istruzione superiore ""Acciaiuli-Enaudi"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Comprensivo ""Don Milani"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Comprensivo ""G. D'Annunzio"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Comprensivo ""Mario Bosco"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Comprensivo ""Umberto I"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Comprensivo n.1 ""Matilde Serao"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Comprensivo n.2 "" F.P. Tosti"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Istruzione Superiore ""VITTORIO EMANUELE II"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Professionale per i Servizi Commerciali e Socio -Sanitari ""DE GIORGIO"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Secondario Superiore ""DE TITTA- FERMI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Tecnico Tecnologico ""L. DA VINCI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto di istruzione superiore ""Alessandra Volta"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Liceo Scientifico ""G. GALILEI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",PRonto SOKCORSO G. BERNABEO
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Prefettura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Procura della Repubblica di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Questura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Questura di Chieti -Polizia di Stato
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Rotary Club di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Soggiorno Proposta Onlus
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Sportello SenzaViolenza Donne&Minori
