chiave,record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2
ASSOCIAZIONE MAI+SOLE||Ente terzo settore - ETS (iscritto al RUNTS)||Cuneo||Piemonte,001_0005,01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,01,Piemonte,Cuneo,Savigliano,Associazione MAI+SOLE,Associazione MAI+SOLE,ASSOCIAZIONE MAI+SOLE,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,95019460047,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE MAI+SOLE||Ente terzo settore - ETS (iscritto al RUNTS)||Cuneo||Piemonte,012_0012,01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.txt,01,Piemonte,Cuneo,Savigliano,Associazione MAI+SOLE,Associazione MAI+SOLE,ASSOCIAZIONE MAI+SOLE,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,firmatario|attore,1,1,0,,,95019460047,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,001_0006,01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,002_0025,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,Momenti di coordinamento e assessorato regionale,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,003_0027,01_2406_rta_01_240904121349_4166---convenzione.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,"Normativa, Albo Centri antiviolenza e Case rifugio",,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,006_0006,01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,007_0004,01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,008_0022,01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,012_0031,01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,Direzione Coesione Sociale,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,019_0011,01_2406_rta_01_241003124847_4166---2024-8928-2perinvio.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
