record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2,n_record_aggregati,files,ruoli_documentali_aggregati
217_0024,16_bari_protocollo operativo Putignano_EMI.txt,16,Puglia,,,Autorita Giudiziaria,Autorita Giudiziaria,AUTORITA GIUDIZIARIA,Altro,Altro,Altro,nome,generico,,0,0,0,,,,30,Altro,9,altro,1,16_bari_protocollo operativo Putignano_EMI.txt,
093_0021,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Autorità giudiziaria,Autorita giudiziaria,AUTORITA GIUDIZIARIA,Altro,Altro,Altro,nome,generico,,0,0,0,,Soggetto destinatario e coordinatore delle attività,,30,Altro,9,altro,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
093_0031,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Comunità di tipo familiare,Comunita di tipo familiare,COMUNITA DI TIPO FAMILIARE,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,Affido minori stranieri non accompagnati,,30,Altro,9,altro,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
084_0041,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Conferenza unificata Stato-Regioni,Conferenza unificata Stato-Regioni,CONFERENZA UNIFICATA STATO-REGIONI,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
198_0016,13_2406_rta_13_241122102615_4166---PROTOCOLLOD_INTESACOMUNEAQ_donatellatelliniCAV2023.txt,13,Abruzzo,,,Consiglio d'Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,3,13_2406_rta_13_241122102615_4166---PROTOCOLLOD_INTESACOMUNEAQ_donatellatelliniCAV2023.txt | 13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt | 13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,
116_0004,12_2406_rta_12_240926140522_4166---4ProtintCAVFRANCARAME-38-41(1).txt,12,Lazio,,,Consiglio d’Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,Citato per la Convenzione,,30,Altro,9,altro,9,12_2406_rta_12_240926140522_4166---4ProtintCAVFRANCARAME-38-41(1).txt | 12_2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1).txt | 12_2406_rta_12_241003091037_4166---5Protocollid'intesa-Ass.Salvamamme(002).txt | 12_2406_rta_12_241003104626_4166---PROTOCOLLODIINTESAMUNICIPIOXV.txt | 12_2406_rta_12_241004093800_4166---6protCavPaolaLattesComitatodiQuartiere“CittadinidiColliAniene.txt | 12_2406_rta_12_241004094402_4166---7ProtCAVPAOLALATTESAPSedIlComitatodiQuartiere“ComprensorioPratolungo(1).txt | 12_2406_rta_12_241004100148_4166---910protCAVPAOLALATTESCooperativaSocialeLineaSociale-Onlus(1).txt | 12_2406_rta_12_241004103912_4166---9protCAVPAOLALATTESComitatodiQuartiereTorraccia(1).txt | 12_2406_rta_12_241004130514_4166---PROTOCOLLODIINTESAPERLAPROMOZIONEDISTRATEGIECONDIVISESULFENOMENODELLAVIOLENZADIGENERE(1).txt,
046_0043,03_2406_rta_03_240926122051_4166---Protocollomonz.txt,03,Lombardia,,,Consiglio d’Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,2,03_2406_rta_03_240926122051_4166---Protocollomonz.txt | 03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,
210_0021,16_2406_rta_16_250409174252_4166---Protocollo_Intesa_LARA.txt,16,Puglia,,,Consiglio d’Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,16_2406_rta_16_250409174252_4166---Protocollo_Intesa_LARA.txt,
084_0034,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Consiglio d'Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
208_0029,13_2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA.txt,13,Abruzzo,,,ISTAT,ISTAT,ISTAT,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,Citato come fonte di indagini statistiche,,30,Altro,9,altro,1,13_2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA.txt,
