tipo,numerosita
Comuni,805
Altro,663
CAV,427
Ente terzo settore - ETS (iscritto al RUNTS)[1],382
ASL (consultori familiari e altri servizi territoriali),331
"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",247
Procura Ordinaria/Tribunale/Corte d'appello,176
Scuole/Ufficio scolastico provinciale e regionale,170
Carabinieri/Polizia/altre forze dell'ordine,157
"Ospedale (Pronto soccorso, ecc.)",139
Sindacati/Associazioni di categoria,121
Servizi sociali comunali,118
Province/Città metropolitane,110
Case Rifugio,109
Organismi di parità,94
Prefettura,75
Questura,71
Procura Minorile/ Tribunale minorile,57
Ordine avvocati,55
Regioni/province Autonome,51
Polizia Municipale,47
Università,46
"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",38
Ordine medici e odontoiatri e Ordine farmacisti,32
Servizi per l'impiego,28
Ordine psicologi e Ordine assistenti sociali,27
"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",21
Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,18
Settore educativo comunale,10
Servizio abusi e maltrattamenti comunale,2
