file,nome,tipo,comune,comune_runts,comune_fonte,comune_matchato,match_comune,codice_comune,codice_provincia,provincia,sigla_provincia,codice_regione,regione
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Poggibonsi,Comuni,Poggibonsi,,comune,Poggibonsi,exact,052022,052,Siena,SI,09,Toscana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Colle di Val d’Elsa,Comuni,Colle di Val d’Elsa,,comune,Colle di Val d'Elsa,exact,052012,052,Siena,SI,09,Toscana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di San Gimignano,Comuni,San Gimignano,,comune,San Gimignano,exact,052028,052,Siena,SI,09,Toscana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Casole d’Elsa,Comuni,Casole d’Elsa,,comune,Casole d'Elsa,exact,052004,052,Siena,SI,09,Toscana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Radicondoli,Comuni,Radicondoli,,comune,Radicondoli,exact,052025,052,Siena,SI,09,Toscana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Centro Pari Opportunità Valdelsa,Organismi di parità,,,none,,none,,,,,,
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Donne Insieme Valdelsa,CAV/Centri Antiviolenza,,COLLE DI VAL D'ELSA,comune_runts,Colle di Val d'Elsa,exact,052012,052,Siena,SI,09,Toscana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Casa Rifugio D.I.V.E.,Case Rifugio,,,none,,none,,,,,,
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Consultorio Azienda USL Toscana Sud Est Zona Valdelsa,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Servizio di Salute Mentale Azienda USL Toscana Sud Est Zona Alta Valdelsa,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,U.O.C. di Psicologia Azienda USL Toscana Sud Est,ASL (consultori familiari e altri servizi territoriali),,,nome,,none,,,,,,
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,U.O Pronto Soccorso Azienda USL 7 – Monoblocco Alta Val d’Elsa,"Ospedale (Pronto soccorso, ecc.)",,,none,,none,,,,,,
