id_rete,file,titolo_rete,regione,provincia,nome_soggetto,tipo_dettaglio,macro_tipologia,ruolo_proponente,ruolo_attore,ruolo_testo,comune_soggetto,sigla_provincia,codice_regione,codice_provincia,fonte_tipo,note
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Comune di Poggibonsi,Comuni,Servizi Comunali,1,1,soggetto_proponente;attore,Poggibonsi,SI,09,052,Comuni,
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Comune di Colle di Val d’Elsa,Comuni,Servizi Comunali,1,1,soggetto_proponente;attore,Colle di Val d’Elsa,SI,09,052,Comuni,
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Comune di San Gimignano,Comuni,Servizi Comunali,1,1,soggetto_proponente;attore,San Gimignano,SI,09,052,Comuni,
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Comune di Casole d’Elsa,Comuni,Servizi Comunali,1,1,soggetto_proponente;attore,Casole d’Elsa,SI,09,052,Comuni,
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Comune di Radicondoli,Comuni,Servizi Comunali,1,1,soggetto_proponente;attore,Radicondoli,SI,09,052,Comuni,
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Centro Pari Opportunità Valdelsa,Organismi di parità,Territorio,1,1,soggetto_proponente;attore,,,,,Organismi di parità,Capofila e coordinatore Tavolo Valdelsa
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Associazione Donne Insieme Valdelsa,CAV,CAV e Case Rifugio,0,1,attore,Colle di Val d'Elsa,SI,09,052,CAV/Centri Antiviolenza,"Gestione CAV e Casa Rifugio, fornisce dati e collabora alla rete"
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Casa Rifugio D.I.V.E.,Case Rifugio,CAV e Case Rifugio,0,1,attore,,,,,Case Rifugio,Gestita dall’Associazione Donne Insieme Valdelsa
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Azienda USL Toscana Sud Est,ASL (consultori familiari e altri servizi territoriali),Settore Sanitario,0,1,attore,,,,,ASL (consultori familiari e altri servizi territoriali),
rete_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Siena,Consultorio Azienda USL Toscana Sud Est Zona Valdelsa,ASL (consultori familiari e altri servizi territoriali),Settore Sanitario,0,1,attore,,,,,ASL (consultori familiari e altri servizi territoriali),Consultorio familiare
