regione,Comunale,Ambito intercomunale (Unione comuni etc.),Area metropolitana/provinciale,Ambito sociale,Ambito sanitario coincidente con articolazioni locali delle Aziende Sanitarie Locali e/o Case della Salute e/o ATS,Ambito regionale/Prov. Autonome,Ambito distrettuale - legale,Altro,Totale riga
Abruzzo,0,0,0,1,0,12,0,0,13
Basilicata,0,0,0,0,0,2,0,0,2
Calabria,0,0,0,0,0,13,0,0,13
Emilia-Romagna,0,0,3,0,0,12,0,0,15
Friuli-Venezia Giulia,0,0,0,0,0,2,0,0,2
Lazio,0,0,41,1,0,52,1,0,95
Liguria,0,0,0,0,0,2,1,0,3
Lombardia,0,0,3,0,0,23,0,1,27
Marche,0,0,0,0,0,5,0,0,5
Piemonte,0,0,5,0,0,15,2,0,22
Puglia,0,0,1,2,1,11,1,0,16
Sardegna,0,0,0,0,0,1,0,0,1
Toscana,0,0,1,1,0,10,0,0,12
Trento,0,0,0,0,0,3,0,0,3
Umbria,0,0,0,0,0,1,0,0,1
Valle d'Aosta/Vallée d'Aoste,0,0,0,0,0,1,0,0,1
Veneto,0,0,1,0,0,8,0,0,9
Totale colonna,0,0,55,5,1,173,5,1,240
