regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO,Totale Riga
Abruzzo,9,15,14,11,0,1,3,5,8,0,0,66
Calabria,1,2,2,0,0,0,0,5,1,1,0,12
Emilia-Romagna,4,14,12,9,2,4,4,24,8,4,0,85
Lazio,4,4,3,3,2,0,5,6,3,2,0,32
Liguria,0,0,0,0,1,0,0,0,0,0,0,1
Lombardia,17,44,51,30,1,36,11,43,26,11,0,270
Marche,0,2,3,0,0,1,0,0,0,0,0,6
Piemonte,7,6,6,4,0,5,2,4,5,3,0,42
Puglia,0,8,5,5,1,7,1,0,0,1,0,28
Sardegna,0,0,0,0,1,0,0,0,0,0,0,1
Toscana,0,1,10,0,0,4,1,0,0,2,0,18
Trento,0,0,0,2,0,1,0,0,0,0,0,3
Umbria,0,0,0,0,1,1,0,0,1,0,0,3
Valle d'Aosta/Vallée d'Aoste,0,0,0,0,1,0,0,0,0,0,0,1
Veneto,3,4,3,1,0,2,1,4,0,0,0,18
Totale Colonna,45,100,109,65,10,62,28,91,52,24,0,586
