regione,reti,soggetti,attori,firmatari,proponenti,governance,Totale Riga
Abruzzo,13,258,216,206,65,15,773
Basilicata,2,9,9,0,0,0,20
Calabria,13,185,136,96,13,16,459
Emilia-Romagna,15,478,419,287,85,34,1318
Friuli-Venezia Giulia,2,87,43,76,0,14,222
Lazio,95,577,330,222,32,32,1288
Liguria,3,96,82,40,1,8,230
Lombardia,27,1049,972,814,270,87,3219
Marche,5,208,168,163,6,14,564
Piemonte,22,350,237,153,42,65,869
Puglia,16,278,215,127,28,22,686
Sardegna,1,117,117,109,1,0,345
Toscana,12,340,288,178,18,21,857
Trento,3,105,95,36,0,9,248
Umbria,1,45,45,0,3,11,105
Valle d'Aosta/Vallée d'Aoste,1,22,10,0,1,2,36
Veneto,9,298,266,182,21,17,793
Totale Colonna,240,4502,3648,2689,586,367,12032
