file,nome,tipo,comune,provincia,sigla_provincia,regione,codice_comune,codice_provincia,codice_regione,livello_territoriale,lat,lon,ruolo,governance_detail,is_firmatario,is_proponente,is_attore,is_gestione,is_monitoraggio,is_coordinamento,is_governance,is_governance_generica,is_ente_capofila,nome_key,tipo_key,comune_key,provincia_key,regione_key,ruolo_key,livello_key,info_score
12_2406_rta_12_241004114912_4166---ProtocolloRetePrantiviolenzaFrosinone.txt,APS Calcutta,CAV/Centri Antiviolenza,Fiuggi,Frosinone,FR,Lazio,060035,060,12,comune,41.803881,13.221884,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,aps calcutta,cav/centri antiviolenza,fiuggi,frosinone,lazio,"firmatario, attore, gestione",comune,7
12_2406_rta_12_240926113237_4166---Accordocavunuiversitari.txt,APS Casa delle Donne Lucha y Siesta,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,aps casa delle donne lucha y siesta,ente terzo settore - ets (iscritto al runts) costituito da donne per le donne,roma,roma,lazio,"firmatario, attore, gestione",comune,7
12_2406_rta_12_240926113237_4166---Accordocavunuiversitari.txt,APS Differenza Donna,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,aps differenza donna,ente terzo settore - ets (iscritto al runts) costituito da donne per le donne,roma,roma,lazio,"firmatario, attore, gestione",comune,7
12_2406_rta_12_240926112734_4166---3AccordoDistrettoVT4ePontedonna-signed(1).txt,APS Ponte Donna,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Grottaferrata,Roma,RM,Lazio,058046,258,12,comune,41.788708,12.667168,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,aps ponte donna,associazioni di promozione sociale,grottaferrata,roma,lazio,"firmatario, attore, gestione",comune,7
12_2406_rta_12_240926112823_4166---2AccordoDemetra_Aman.txt,APS Ponte Donna,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Grottaferrata,Roma,RM,Lazio,058046,258,12,comune,41.788708,12.667168,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,aps ponte donna,ente terzo settore - ets (iscritto al runts) costituito da donne per le donne,grottaferrata,roma,lazio,"firmatario, attore, gestione",comune,7
16_bari_protocollo operativo Grumo_EMI.txt,APS Sud Est Donne,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Conversano,Bari,BA,Puglia,072019,272,16,comune,40.96653,17.114541,"firmatario, gestione",gestione,True,False,False,True,False,False,True,False,False,aps sud est donne,associazioni di promozione sociale,conversano,bari,puglia,"firmatario, gestione",comune,7
12_2406_rta_12_241004144338_4166---06-ProtocolloComunediVALLECORSA.txt,ASSOCIAZIONE VOLONTARIE TELEFONO ROSA FROSINONE,CAV/Centri Antiviolenza,Ceccano,Frosinone,FR,Lazio,060024,060,12,comune,41.568398,13.333537,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,associazione volontarie telefono rosa frosinone,cav/centri antiviolenza,ceccano,frosinone,lazio,"firmatario, proponente, attore, coordinamento",comune,7
16_bari_protocollo operativo Gioia del Colle_EMI.txt,Ambito Territoriale Sociale di Gioia del Colle,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Gioia Del Colle,Bari,BA,Puglia,072021,272,16,comune,40.801457,16.923309,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,ambito territoriale sociale di gioia del colle,"ambiti della programmazione sociale e socio-sanitaria (ambiti sociali, piani di zona, distretti socio-sanitari, società della salute)",gioia del colle,bari,puglia,"firmatario, proponente, attore, coordinamento",comune,7
11_2406_rta_11_240911113034_4166---protocollodireteantiviolenza2020-2022-uuvv.txt,Ambito Territoriale Sociale n.1 di Pesaro,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Pesaro,Pesaro E Urbino,PU,Marche,041044,041,11,comune,43.910102,12.913395,"firmatario, proponente, attore, coordinamento, ente_capofila",coordinamento,True,True,True,False,False,True,True,False,True,ambito territoriale sociale n.1 di pesaro,"ambiti della programmazione sociale e socio-sanitaria (ambiti sociali, piani di zona, distretti socio-sanitari, società della salute)",pesaro,pesaro e urbino,marche,"firmatario, proponente, attore, coordinamento, ente_capofila",comune,7
03_2406_rta_03_240918153156_4166---Protocollo_d'Intesa_Rete_Mantova.prot.txt,Associazione Abramo ETS - Ente della Diocesi di Mantova,CAV/Centri Antiviolenza,San Giorgio Bigarello,Mantova,MN,Lombardia,020057,020,03,comune,45.165196,10.845708,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,associazione abramo ets - ente della diocesi di mantova,cav/centri antiviolenza,san giorgio bigarello,mantova,lombardia,"firmatario, proponente, attore, gestione",comune,7
