lat,lon,nome,comune,provincia,regione,tipo,ruolo,is_firmatario,is_proponente,is_attore,is_gestione,is_monitoraggio,is_coordinamento,is_governance,ruolo_list,governance_detail,nome_key,tipo_key,comune_key,provincia_key,regione_key,ruolo_key
44.698185,7.854681,Comune di Bra,Bra,Cuneo,Piemonte,Comuni,"firmatario, proponente, attore, gestione",True,True,True,True,False,False,True,"['firmatario', 'proponente', 'attore', 'gestione']",gestione,comune di bra,comuni,bra,cuneo,piemonte,"firmatario, proponente, attore, gestione"
44.701064,8.035865,Comune di Alba,Alba,Cuneo,Piemonte,Comuni,"firmatario, attore",True,False,True,False,False,False,False,"['firmatario', 'attore']",,comune di alba,comuni,alba,cuneo,piemonte,"firmatario, attore"
44.701064,8.035865,Consorzio Socio Assistenziale Alba Langhe Roero,Alba,Cuneo,Piemonte,CAV/Centri Antiviolenza,"firmatario, attore",True,False,True,False,False,False,False,"['firmatario', 'attore']",,consorzio socio assistenziale alba langhe roero,cav/centri antiviolenza,alba,cuneo,piemonte,"firmatario, attore"
44.701064,8.035865,ASL CN2,Alba,Cuneo,Piemonte,ASL (consultori familiari e altri servizi territoriali),"firmatario, attore",True,False,True,False,False,False,False,"['firmatario', 'attore']",,asl cn2,asl (consultori familiari e altri servizi territoriali),alba,cuneo,piemonte,"firmatario, attore"
44.647962,7.657452,Associazione MAI+SOLE,Savigliano,Cuneo,Piemonte,ORGANIZZAZIONI DI VOLONTARIATO,"firmatario, attore",True,False,True,False,False,False,False,"['firmatario', 'attore']",,associazione mai+sole,organizzazioni di volontariato,savigliano,cuneo,piemonte,"firmatario, attore"
45.571168,8.100825,Amministrazione Provinciale di Biella,Biella,Biella,Piemonte,Province/Città metropolitane,"firmatario, proponente, attore",True,True,True,False,False,False,False,"['firmatario', 'proponente', 'attore']",,amministrazione provinciale di biella,province/città metropolitane,biella,biella,piemonte,"firmatario, proponente, attore"
45.566565,8.053801,Azienda Sanitaria Locale di Biella,Biella,Biella,Piemonte,ASL (consultori familiari e altri servizi territoriali),"firmatario, attore",True,False,True,False,False,False,False,"['firmatario', 'attore']",,azienda sanitaria locale di biella,asl (consultori familiari e altri servizi territoriali),biella,biella,piemonte,"firmatario, attore"
45.566565,8.053801,Presidio Ospedaliero di Biella,Biella,Biella,Piemonte,"Ospedale (Pronto soccorso, ecc.)","attore, gestione",False,False,True,True,False,False,True,"['attore', 'gestione']",gestione,presidio ospedaliero di biella,"ospedale (pronto soccorso, ecc.)",biella,biella,piemonte,"attore, gestione"
45.566565,8.053801,Consultorio Familiare di Biella,Biella,Biella,Piemonte,ASL (consultori familiari e altri servizi territoriali),attore,False,False,True,False,False,False,False,['attore'],,consultorio familiare di biella,asl (consultori familiari e altri servizi territoriali),biella,biella,piemonte,attore
45.566565,8.053801,S.C. Neuropsichiatria Infantile,Biella,Biella,Piemonte,ASL (consultori familiari e altri servizi territoriali),attore,False,False,True,False,False,False,False,['attore'],,s.c. neuropsichiatria infantile,asl (consultori familiari e altri servizi territoriali),biella,biella,piemonte,attore
