lat,lon,nome,comune,provincia,regione,tipo,ruolo,is_firmatario,is_proponente,is_attore,is_gestione,is_monitoraggio,is_coordinamento,is_governance,ruolo_list,governance_detail,nome_key,tipo_key,comune_key,provincia_key,regione_key,ruolo_key
44.698185,7.854681,Comune di Bra,Bra,Cuneo,Piemonte,Comuni,"firmatario, proponente, attore, gestione",True,True,True,True,False,False,True,"['firmatario', 'proponente', 'attore', 'gestione']",gestione,comune di bra,comuni,bra,cuneo,piemonte,"firmatario, proponente, attore, gestione"
45.566565,8.053801,Presidio Ospedaliero di Biella,Biella,Biella,Piemonte,"Ospedale (Pronto soccorso, ecc.)","attore, gestione",False,False,True,True,False,False,True,"['attore', 'gestione']",gestione,presidio ospedaliero di biella,"ospedale (pronto soccorso, ecc.)",biella,biella,piemonte,"attore, gestione"
45.566565,8.053801,Cooperativa Sociale Anteo,Biella,Biella,Piemonte,IMPRESE SOCIALI,"attore, gestione",False,False,True,True,False,False,True,"['attore', 'gestione']",gestione,cooperativa sociale anteo,imprese sociali,biella,biella,piemonte,"attore, gestione"
45.566565,8.053801,Comune di Biella,Biella,Biella,Piemonte,Comuni,"attore, gestione",False,False,True,True,False,False,True,"['attore', 'gestione']",gestione,comune di biella,comuni,biella,biella,piemonte,"attore, gestione"
44.887333,7.33205,Associazione SvoltaDonna OdV - Centro Antiviolenza,Pinerolo,Torino,Piemonte,CAV/Centri Antiviolenza,"firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,associazione svoltadonna odv - centro antiviolenza,cav/centri antiviolenza,pinerolo,torino,piemonte,"firmatario, attore, gestione"
45.073289,7.680696,CENTRI ANTIVIOLENZA E.M.M.A. ONLUS,Torino,Torino,Piemonte,CAV/Centri Antiviolenza,"firmatario, proponente, attore, coordinamento",True,True,True,False,False,True,True,"['firmatario', 'proponente', 'attore', 'coordinamento']",coordinamento,centri antiviolenza e.m.m.a. onlus,cav/centri antiviolenza,torino,torino,piemonte,"firmatario, proponente, attore, coordinamento"
44.846479,7.718085,Comune di Carmagnola,Carmagnola,Torino,Piemonte,Comuni,"firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,comune di carmagnola,comuni,carmagnola,torino,piemonte,"firmatario, attore, gestione"
45.073289,7.680696,CENTRI ANTIVIOLENZA E.M.M.A. ONLUS,Torino,Torino,Piemonte,CAV/Centri Antiviolenza,"firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,centri antiviolenza e.m.m.a. onlus,cav/centri antiviolenza,torino,torino,piemonte,"firmatario, attore, gestione"
44.393296,7.551228,Coop. Fiordaliso Soc. Coop. Sociale Onlus,Cuneo,Cuneo,Piemonte,Ente terzo settore - ETS (iscritto al RUNTS),"firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,coop. fiordaliso soc. coop. sociale onlus,ente terzo settore - ets (iscritto al runts),cuneo,cuneo,piemonte,"firmatario, attore, gestione"
45.366952,8.17434,C.I.S.A.S. (Consorzio Intercomunale per i Servizi di Assistenza Sociale di Santhia),Santhia,Vercelli,Piemonte,CAV/Centri Antiviolenza,"firmatario, proponente, attore, gestione",True,True,True,True,False,False,True,"['firmatario', 'proponente', 'attore', 'gestione']",gestione,c.i.s.a.s. (consorzio intercomunale per i servizi di assistenza sociale di santhia),cav/centri antiviolenza,santhia,vercelli,piemonte,"firmatario, proponente, attore, gestione"
45.617923,8.370763,C.A.S.A. (Consorzio per l’Attivita Socio Assistenziale di Gattinara),Gattinara,Vercelli,Piemonte,CAV/Centri Antiviolenza,"firmatario, proponente, attore, gestione",True,True,True,True,False,False,True,"['firmatario', 'proponente', 'attore', 'gestione']",gestione,c.a.s.a. (consorzio per l’attivita socio assistenziale di gattinara),cav/centri antiviolenza,gattinara,vercelli,piemonte,"firmatario, proponente, attore, gestione"
45.073289,7.680696,Servizio competente in materia di Pari Opportunità della Città di Torino,Torino,Torino,Piemonte,Altro,"firmatario, proponente, attore, coordinamento",True,True,True,False,False,True,True,"['firmatario', 'proponente', 'attore', 'coordinamento']",coordinamento,servizio competente in materia di pari opportunità della città di torino,altro,torino,torino,piemonte,"firmatario, proponente, attore, coordinamento"
45.073289,7.680696,Centro Sanitario Esperto contro la violenza dell’A.O.U. Città della Salute e della Scienza di Torino,Torino,Torino,Piemonte,ASL (consultori familiari e altri servizi territoriali),"attore, monitoraggio",False,False,True,False,True,False,True,"['attore', 'monitoraggio']",monitoraggio,centro sanitario esperto contro la violenza dell’a.o.u. città della salute e della scienza di torino,asl (consultori familiari e altri servizi territoriali),torino,torino,piemonte,"attore, monitoraggio"
45.307818,7.89149,CONSORZIO INTERCOMUNALE SERVIZI SOCIO ASSISTENZIALI DI CALUSO - C.1.S.S - AC,Caluso,Torino,Piemonte,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)","firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,consorzio intercomunale servizi socio assistenziali di caluso - c.1.s.s - ac,"ambiti della programmazione sociale e socio-sanitaria (ambiti sociali, piani di zona, distretti socio-sanitari, società della salute)",caluso,torino,piemonte,"firmatario, attore, gestione"
45.323984,8.423214,Rete Vercellese Antiviolenza,Vercelli,Vercelli,Piemonte,Altro,coordinamento,False,False,False,False,False,True,True,['coordinamento'],coordinamento,rete vercellese antiviolenza,altro,vercelli,vercelli,piemonte,coordinamento
45.323984,8.423214,Settore Politiche Sociali del Comune di Vercelli,Vercelli,Vercelli,Piemonte,Servizi sociali comunali,"firmatario, proponente, attore, coordinamento",True,True,True,False,False,True,True,"['firmatario', 'proponente', 'attore', 'coordinamento']",coordinamento,settore politiche sociali del comune di vercelli,servizi sociali comunali,vercelli,vercelli,piemonte,"firmatario, proponente, attore, coordinamento"
45.185033,9.159774,Comune di Pavia,Pavia,Pavia,Lombardia,Comuni,"firmatario, proponente, attore, coordinamento",True,True,True,False,False,True,True,"['firmatario', 'proponente', 'attore', 'coordinamento']",coordinamento,comune di pavia,comuni,pavia,pavia,lombardia,"firmatario, proponente, attore, coordinamento"
45.185033,9.159774,Prefettura - Ufficio Territoriale del Governo di Pavia,Pavia,Pavia,Lombardia,Prefettura,"firmatario, proponente, attore, coordinamento",True,True,True,False,False,True,True,"['firmatario', 'proponente', 'attore', 'coordinamento']",coordinamento,prefettura - ufficio territoriale del governo di pavia,prefettura,pavia,pavia,lombardia,"firmatario, proponente, attore, coordinamento"
45.185033,9.159774,Cooperativa sociale LiberaMente - Percorsi di donne contro la violenza Onlus,Pavia,Pavia,Lombardia,CAV/Centri Antiviolenza,"firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,cooperativa sociale liberamente - percorsi di donne contro la violenza onlus,cav/centri antiviolenza,pavia,pavia,lombardia,"firmatario, attore, gestione"
44.993109,9.008565,Associazione C.H.I.A.R.A. Onlus,Voghera,Pavia,Lombardia,CAV/Centri Antiviolenza,"firmatario, attore, gestione",True,False,True,True,False,False,True,"['firmatario', 'attore', 'gestione']",gestione,associazione c.h.i.a.r.a. onlus,cav/centri antiviolenza,voghera,pavia,lombardia,"firmatario, attore, gestione"
