regione,tipo,n
Abruzzo,ALTRI ENTI DEL TERZO SETTORE,4
Abruzzo,Comuni,1
Abruzzo,Ente terzo settore - ETS (iscritto al RUNTS),1
Calabria,ALTRI ENTI DEL TERZO SETTORE,1
Calabria,Prefettura,1
Calabria,Unione dei Comuni,1
Emilia-Romagna,CAV/Centri Antiviolenza,10
Emilia-Romagna,Unione dei Comuni,3
Emilia-Romagna,Comuni,2
Emilia-Romagna,ASL (consultori familiari e altri servizi territoriali),1
Emilia-Romagna,ASSOCIAZIONI DI PROMOZIONE SOCIALE,1
Emilia-Romagna,ORGANIZZAZIONI DI VOLONTARIATO,1
Emilia-Romagna,"Ospedale (Pronto soccorso, ecc.)",1
Emilia-Romagna,Prefettura,1
Emilia-Romagna,Province/Città metropolitane,1
Friuli-Venezia Giulia,Prefettura,1
Friuli-Venezia Giulia,Servizi sociali comunali,1
Lazio,ASSOCIAZIONI DI PROMOZIONE SOCIALE,9
Lazio,CAV/Centri Antiviolenza,6
Lazio,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,3
Lazio,IMPRESE SOCIALI,2
Lazio,ASL (consultori familiari e altri servizi territoriali),1
Lazio,Comuni,1
Lazio,Ente terzo settore - ETS (iscritto al RUNTS),1
Liguria,CAV/Centri Antiviolenza,1
Liguria,Case Rifugio,1
Lombardia,CAV/Centri Antiviolenza,5
Lombardia,Case Rifugio,4
Lombardia,Comuni,4
Lombardia,Prefettura,4
Lombardia,Altro,3
Lombardia,Ente terzo settore - ETS (iscritto al RUNTS),3
Lombardia,ASL (consultori familiari e altri servizi territoriali),2
Lombardia,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,2
Lombardia,ORGANIZZAZIONI DI VOLONTARIATO,2
Lombardia,Ordine avvocati,2
Lombardia,Province/Città metropolitane,2
Lombardia,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",1
Lombardia,IMPRESE SOCIALI,1
Marche,Prefettura,2
Marche,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",1
Marche,CAV/Centri Antiviolenza,1
Marche,Comuni,1
Marche,IMPRESE SOCIALI,1
Piemonte,CAV/Centri Antiviolenza,5
Piemonte,Comuni,3
Piemonte,Altro,2
Piemonte,ASL (consultori familiari e altri servizi territoriali),1
Piemonte,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",1
Piemonte,Ente terzo settore - ETS (iscritto al RUNTS),1
Piemonte,IMPRESE SOCIALI,1
Piemonte,"Ospedale (Pronto soccorso, ecc.)",1
Piemonte,Servizi sociali comunali,1
Puglia,ASSOCIAZIONI DI PROMOZIONE SOCIALE,3
Puglia,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",2
Puglia,ALTRI ENTI DEL TERZO SETTORE,1
Puglia,CAV/Centri Antiviolenza,1
Puglia,Prefettura,1
Puglia,Province/Città metropolitane,1
Puglia,Università,1
Toscana,CAV/Centri Antiviolenza,4
Toscana,Province/Città metropolitane,3
Toscana,Comuni,1
Toscana,Prefettura,1
Toscana,Servizi sociali comunali,1
Veneto,Comuni,2
Veneto,IMPRESE SOCIALI,1
