macro_categoria,numerosita,attori,files
Enti territoriali / servizi comunali,133,Comando Polizia Municipale | Comune di Abetone | Comune di Agliana | Comune di Arezzo | Comune di Barberino del Mugello | Comune di Bientina | Comune di Borgo San Lorenzo | Comune di Buggiano | Comune di Buti | Comune di Calci | Comune di Calcinaia | Comune di Campagnatico | Comune di Campi Bisenzio | Comune di Cantagallo | Comune di Capalbio | Comune di Capannoli | Comune di Carmignano | Comune di Carrara | Comune di Casale Marittimo | Comune di Casciana Terme-Lari | Comune di Cascina | Comune di Casole d'Elsa | Comune di Castelfranco di Sotto | Comune di Castellina Marittima | Comune di Castelnuovo Val di Cecina | Comune di Castiglione della Pescaia | Comune di Cetona | Comune di Chianciano Terme | Comune di Chianni | Comune di Chiesina Uzzanese | Comune di Chiusi | Comune di Cinigiano | Comune di Civitella Paganico | Comune di Colle di Val d'Elsa | Comune di Crespina-Lorenzana | Comune di Cutigliano | Comune di Fauglia | Comune di Figline e Incisa Valdarno | Comune di Firenze | Comune di Firenze: Area Tutela Valery | Comune di Firenze: Servizi sociali | Comune di Follonica | Comune di Gavorrano | Comune di Grosseto | Comune di Guardistallo | Comune di Isola del Giglio | Comune di Lajatico | Comune di Lamporecchio | Comune di Larciano | Comune di Lastra a Signa | Comune di Livorno | Comune di Magliano in Toscana | Comune di Manciano | Comune di Marliana | Comune di Massa | Comune di Massa Marittima | Comune di Massa e Cozzile | Comune di Monsummano Terme | Comune di Montale | Comune di Monte Argentario | Comune di Montecatini Terme | Comune di Montecatini Val Di Cecina | Comune di Montemurlo | Comune di Montepulciano | Comune di Monterotondo Marittimo | Comune di Montescudaio | Comune di Monteverdi Marittimo | Comune di Montieri | Comune di Montignoso | Comune di Montopoli Valdarno | Comune di Orbetello | Comune di Orciano Pisano | Comune di Palaia | Comune di Peccioli | Comune di Pescia | Comune di Pieve a Nievole | Comune di Pisa | Comune di Pistoia | Comune di Piteglio | Comune di Pitigliano | Comune di Poggibonsi | Comune di Poggio a Caiano | Comune di Pomarance | Comune di Ponsacco | Comune di Pontassieve | Comune di Ponte Buggianese | Comune di Pontedera | Comune di Prato | Comune di Quarrata | Comune di Radicondoli | Comune di Riparbella | Comune di Sambuca Pistoiese | Comune di San Casciano Val di Pesa | Comune di San Casciano dei Bagni | Comune di San Gimignano | Comune di San Giuliano Terme | Comune di San Marcello Pistoiese | Comune di San Miniato | Comune di Santa Croce sull'Arno | Comune di Santa Luce | Comune di Santa Maria a Monte | Comune di Sarteano | Comune di Scandicci | Comune di Scansano | Comune di Scarlino | Comune di Serravalle Pistoiese | Comune di Sesto Fiorentino | Comune di Sinalunga | Comune di Sorano | Comune di Tavarnelle Val di Pesa | Comune di Terricciola | Comune di Torrita di Siena | Comune di Trequanda | Comune di Uzzano | Comune di Vaiano | Comune di Vecchiano | Comune di Vernio | Comune di Vicopisano | Comune di Volterra | Fiorentina Nord Ovest: Servizi sociali | Fiorentina Sud Est: Servizi sociali | Mugello: Servizi sociali | Polizia Municipale di Casole d'Elsa | Polizia Municipale di Colle Val d'Elsa | Polizia Municipale di Poggibonsi | Polizia Municipale di Radicondoli | Polizia Municipale di San Gimignano | Polizie Municipali dei Comuni della Valdelsa | Quartiere 5 del Comune di Firenze | Referente Emergenza Sociale (RES) di zona | SEUS - Servizio Emergenza Urgenza Sociale | Servizi Sociali dei Comuni di Costa | UTES - Unità Territoriali Emergenza Sociale,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
Giustizia e forze dell'ordine,50,Arma dei Carabinieri-Comando provinciale di Lucca | CPO dell'Ordine degli Avvocati di Siena | Comando Provinciale Carabinieri di Livorno | Comando Provinciale Carabinieri di Pistoia | Comando Provinciale dei Carabinieri | Comando Provinciale dei Carabinieri di Arezzo | Comando Provinciale dei Carabinieri di Massa Carrara | Comando Provinciale dell'Arma dei Carabinieri di Prato | Comando Provinciale della Guardia di Finanza di Arezzo | Comando Provinciale della Guardia di Finanza di Massa Carrara | Comando Provinciale della Guardia di Finanza di Prato | Corte d'Appello di Firenze | Ordine degli Avvocati di Siena | Prefettura Ufficio Territoriale del Governo di Prato | Prefettura di Arezzo | Prefettura di Livorno - Ufficio Territoriale del Governo | Prefettura di Lucca | Prefettura di Massa-Carrara | Prefettura di Pisa | Prefettura di Pistoia - Ufficio Territoriale di Governo | Prefettura di Siena | Procura Generale della Repubblica presso la Corte d'Appello di Firenze | Procura Generale presso la Corte d'Appello di Genova | Procura del Tribunale dei Minori di Genova | Procura della Repubblica di Firenze | Procura della Repubblica di Massa | Procura della Repubblica di Pistoia | Procura della Repubblica di Prato | Procura della Repubblica di Siena | Procura della Repubblica minorile | Procura della Repubblica per i Minorenni di Firenze | Procura della Repubblica presso il Tribunale | Procura della Repubblica presso il Tribunale di Arezzo | Procura della Repubblica presso il Tribunale di Massa | Procura della Repubblica presso il Tribunale ordinario | Procura della Repubblica presso il Tribunale per i Minorenni | Procure della Repubblica presso il Tribunale del Distretto | Questura di Arezzo | Questura di Livorno | Questura di Lucca | Questura di Massa Carrara | Questura di Pistoia | Questura di Prato | Questura di Siena | Tribunale di Arezzo | Tribunale di Livorno | Tribunale di Massa | Tribunale di Pisa | Tribunale di Pistoia | Tribunale per i Minorenni,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt
Associazionismo,37,AIED | Arnera Società Cooperativa Sociale | Ascom | Associazione A.R.P.A | Associazione Amica Donna | Associazione Atelier Vantaggio Donna | Associazione C.LF | Associazione Donne In Movimento | Associazione Eunice | Associazione LUI APS | Associazione Le Amiche di Mafalda | Associazione Olympia de Gouges | Associazione P.A. Humanitas | Associazione Psicosfera | Associazione Randi APS | Associazioni del Terzo Settore | CAM Centro Uomini Maltrattanti | CAM Firenze | CGIL Provinciale | CIA | CISL Provinciale | CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia | Centro di Ascolto CIF di Carrara | Centro di Ascolto Sabine di Montignoso | Centro di Ascolto Uomini Maltrattanti | Comitato Regionale | Confesercenti | Federalberghi | Ippogrifo APS | Nuovo Maschile. Uomini liberi dalla violenza | Punto di Ascolto territoriale di Arcidosso | Punto di Ascolto territoriale di Capalbio | Punto di Ascolto territoriale di Follonica | Punto di Ascolto territoriale di Manciano | Punto di ascolto territoriale di Grosseto | UGL Provinciale | UIL Provinciale,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
Sanità e servizi territoriali,27,118 | ARTI Servizi per il Lavoro di GR-LI | ASL 12 Versilia | ASL 2 Lucca | ASL n. 3 Pistoia | Azienda ASL7 | Azienda Ospedaliera Universitaria Pisana | Azienda Sanitaria Locale n. 1 di Massa Carrara | Azienda Sanitaria USL Toscana Centro | Azienda Sanitaria USL Toscana Nord-Ovest | Azienda USL 9 di Grosseto | Azienda USL Toscana Nord Ovest (AUSL TNO | Azienda USL Toscana Sud Est | Azienda USL n.9 di Grosseto | Azienda Usl n. 8 | Centro per l'Impiego di Livorno | Codice Rosa | Consultorio Azienda USL Toscana Sud Est Zona Valdelsa | Fiorentina Nord Ovest: Codice Rosa | Fiorentina Sud Est: Codice Rosa | Mugello: Codice Rosa | Ospedale (Pronto Soccorso | Pronto Soccorso di Campostaggia Azienda USL Toscana Sud Est | Rete Regionale Codice Rosa | Servizio di Salute Mentale Azienda USL Toscana Sud Est Zona Alta Valdelsa | U.O Pronto Soccorso Azienda USL 7 - Monoblocco Alta Val d'Elsa | U.O.C. di Psicologia Azienda USL Toscana Sud Est,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
CAV e Case Rifugio,22,"Associazione ""Pronto Donna"" Centro Antiviolenza | Associazione Casa della donna | Associazione Donne Insieme Valdelsa | Associazione Frida | Casa Rifugio D.I.V.E | Centro Antiviolenza Associazione Artemisia APS | Centro Antiviolenza Centro Donna Carrara | Centro Antiviolenza Centro Donna Lunigiana | Centro Antiviolenza Centro Donna della Lunigiana | Centro Antiviolenza Centro Donna di Massa | Centro Antiviolenza Donna chiama Donna di Carrara | Centro Antiviolenza Duna di Massa | Centro Antiviolenza La Nara | Centro Antiviolenza di Grosseto | Centro Antiviolenza di Orbetello | Centro Donna Chiama Donna | Centro Donna Lunigiana | Centro Donna Provinciale | Centro antiviolenza ""Olympia de Gouges"" di Grosseto e Orbetello | Centro antiviolenza ""Tutto e vita — Elisabetta Fiorilli"" Grosseto | Centro antiviolenza Artemisia | Centro antiviolenza di Mantepescali",09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_PISA PREF E PROV.txt | 09_PRATO PREF.txt
Altri attori istituzionali / professionali,20,Centro Pari Opportunità Valdelsa | Centro Pari Opportunità Valdichiana | Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena | Consigliera Provinciale di Parità | Consigliera di Parità della Provincia di Livorno | Consigliera di Parità della Provincia di Pisa | Consigliera di Parità di Lucca | MIUR Ufficio Scolastico Regionale per la Toscana XI Ambito Territoriale di Prato e Pistoia sede di Prato | Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena | Scuole | Ufficio Scolastico Provinciale | Ufficio Scolastico Provinciale di Arezzo | Ufficio Scolastico Provinciale di Grosseto | Ufficio Scolastico Provinciale di Lucca | Ufficio Scolastico Regionale della Toscana Ambito Territoriale della provincia di Pisa | Ufficio Scolastico Regionale per la Toscana Ambito Territoriale della Provincia di Arezzo Ufficio VI | Ufficio Scolastico Territoriale di Arezzo | Ufficio delle Consigliere di Parità per la Provincia di Arezzo | Università degli Studi di Firenze | Università degli Studi di Pisa,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
Ambiti socio-sanitari,19,Conferenza Zonale dei Sindaci del Valdarno | Conferenza Zonale dei Sindaci della Valdichiana Aretina | Conferenza dei Sindaci ASL 2 zona Piana di Lucca | Conferenza dei Sindaci ASL 2 zona Valle del Serchio | Conferenza dei Sindaci della Zona Aretina | Conferenza del Sindaci ASL 12 zona Versilia | Fondazione Territori Sociali Altavaldelsa | Servizi Sociali e Sanitari della Società della Salute | Società della Salute Alta Val d'Elsa | Società della Salute Area Pratese | Società della Salute Fiorentina Nord Ovest | Società della Salute Fiorentina Sud Est | Società della Salute Firenze | Società della Salute Mugello | Società della Salute Valdinievole | Società della Salute Zona Alta Valdicecina-Valdera | Società della Salute Zona Empolese Valdarno Valdelsa | Società della Salute Zona Pisana | Società della Salute della Lunigiana,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
Altro,13,Articolazioni zonali delle conferenze dei sindaci del territorio provinciale | Comitato di Area Vasta | Direzione Diritti di cittadinanza e coesione sociale | European Society Stress Traumatic Studies | Filiale di Livorno della Banca d'Italia | Giudice tutelare | Gruppo di lavoro Tavolo Privacy di Regione Toscana | Istituto di assistenza pubblico privato | Magistratura di Sorveglianza | Osservatorio Sociale Regionale | SERD | SMA | SSR,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_PISA PREF E PROV.txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt
Province/Città metropolitane,10,Città Metropolitana di Firenze | Polizia provinciale | Provincia di Arezzo | Provincia di Grosseto | Provincia di Livorno | Provincia di Lucca | Provincia di Massa Carrara | Provincia di Pisa | Provincia di Pistoia | Provincia di Prato,09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
Enti territoriali sovracomunali,4,Comunità Montana del Cetona | Conferenza Zonale dei Sindaci del Casentino/Unione dei Comuni Montani del Casentino | Conferenza Zonale dei Sindaci della Valtiberina Toscana/Unione Montana dei Comuni della Valtiberina Toscana | Unione dei comuni Montani Amiata Grossetana,09_AREZZO Prot_2024-2026.txt | 09_GROSSETO 2022 fpdf.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
