regione,provincia,macro_categoria,tipo_standard,nome_canonico,file,n_record_aggregati
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Altri ordini professionali,Ordine dei Giornalisti di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Ordine medici e odontoiatri e Ordine farmacisti,Ordine dei Farmacisti di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Ordine medici e odontoiatri e Ordine farmacisti,Ordine dei Medici Chirurghi e degli Odontoiatri di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Assessorato Pari Opportunita,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Organismi di parità,Comitato Pari Opportunita presso l'Ordine degli Avvocati di Ferrara,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Commissione Pari Opportunita,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Consigliera di Parità Provinciale di Reggio Emilia,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,Modena,Altri attori istituzionali / professionali,Organismi di parità,Consigliera di Parità della Provincia di Modena,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Piacenza,Altri attori istituzionali / professionali,Organismi di parità,Consigliera di Parità della Provincia di Piacenza,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,Rimini,Altri attori istituzionali / professionali,Organismi di parità,Consigliera di Parità della Provincia di Rimini,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Consigliera di Parità provinciale,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Consigliere di Parità,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Consulta per le pari opportunita,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Dipartimento per le Pari Opportunita della Presidenza del Consiglio dei Ministri,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Organismi di parità,Uffici Pari opportunita,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Piacenza,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ambito territoriale per la provincia di Piacenza,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Centro Territoriale Permanente per l'Educazione degli Adulti,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Direzioni Scolastiche,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,2
