regione,macro_categoria,numerosita
Emilia-Romagna,Enti territoriali / servizi comunali,136
Emilia-Romagna,Altro,73
Emilia-Romagna,Giustizia e forze dell'ordine,55
Emilia-Romagna,Associazionismo,53
Emilia-Romagna,Sanità e servizi territoriali,47
Emilia-Romagna,CAV e Case Rifugio,45
Emilia-Romagna,Altri attori istituzionali / professionali,32
Emilia-Romagna,Enti territoriali sovracomunali,15
Emilia-Romagna,Regioni/Province Autonome,10
Emilia-Romagna,Province/Città metropolitane,7
Emilia-Romagna,Ambiti socio-sanitari,4
Liguria,Giustizia e forze dell'ordine,21
Liguria,Sanità e servizi territoriali,17
Liguria,CAV e Case Rifugio,16
Liguria,Altro,14
Liguria,Associazionismo,9
Liguria,Enti territoriali / servizi comunali,9
Liguria,Ambiti socio-sanitari,6
Liguria,Altri attori istituzionali / professionali,2
Liguria,Province/Città metropolitane,1
Liguria,Regioni/Province Autonome,1
Piemonte,Associazionismo,1
Toscana,Enti territoriali / servizi comunali,133
Toscana,Giustizia e forze dell'ordine,48
Toscana,Associazionismo,37
Toscana,Sanità e servizi territoriali,27
Toscana,CAV e Case Rifugio,22
Toscana,Altri attori istituzionali / professionali,20
Toscana,Ambiti socio-sanitari,19
Toscana,Altro,13
Toscana,Province/Città metropolitane,10
Toscana,Enti territoriali sovracomunali,4
Toscana,Regioni/Province Autonome,3
