regione,file,firmatario,tipo,macro_categoria
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,CASA delle donne per non subire violenza,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Città metropolitana di Bologna,Province/Città metropolitane,Province/Città metropolitane
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di Bologna,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di Imola,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di San Lazzaro di Savena,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Regione Emilia-Romagna,Regioni/Province Autonome,Regioni/Province Autonome
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Trama di Terre,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,UDI,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,ACER Bologna,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,AIDA,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,AIPI,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,APE,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,APPC,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,ASSOCASA,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,ASSPI,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,"Arma dei Carabinieri, Comando Provinciale di Bologna",Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Associazione MondoDonna,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Associazione SOS Donna,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,CGIL,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,CISL,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,CONFABITARE,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,CONIA,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Alto Reno Terme,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Anzola dell'Emilia,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Argelato,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Baricella,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Bentivoglio,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Borgo Tossignano,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Budrio,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Calderara di Reno,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Camugnano,Comuni,Enti territoriali / servizi comunali
