regione,CAV,Province/Città metropolitane,Regioni/province Autonome,Servizi comunali,Settore Educativo,Settore giudiziario,Territorio,altro,associazionismo,settore sanitario
Abruzzo,23,5,2,64,19,35,14,33,34,31
Basilicata,3,0,1,3,0,0,0,2,1,0
Calabria,33,8,7,30,10,32,11,26,10,16
Emilia-Romagna,46,22,10,136,19,51,20,71,60,43
Friuli-Venezia Giulia,6,2,0,32,4,18,0,6,15,5
Lazio,98,9,6,56,43,41,16,150,120,36
Liguria,16,1,1,9,2,21,6,14,9,17
Lombardia,118,21,1,291,37,70,97,110,203,102
Marche,16,8,1,15,34,29,37,9,42,17
Piemonte,52,13,6,36,14,17,36,93,33,50
Puglia,44,4,5,67,12,41,47,70,40,68
Sardegna,11,1,1,0,1,27,30,7,27,12
Toscana,23,13,3,133,11,46,29,29,32,20
Trento,15,0,1,17,4,11,10,20,24,33
Umbria,0,1,1,11,1,15,1,2,9,4
Valle d'Aosta/Vallée d'Aoste,1,0,3,1,1,0,2,7,3,3
Veneto,33,2,3,76,20,38,18,14,42,22
Valle d'Aosta/Vallee d'Aoste,1,0,0,0,0,0,0,0,0,0
