chiave,record_id,file,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,comune_finale,provincia_finale,regione_finale,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf
AZIENDA USL TOSCANA SUD EST||ASL (consultori familiari e altri servizi territoriali)||||Toscana,001_0009,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Azienda USL Toscana Sud Est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
AZIENDA USL TOSCANA SUD EST||ASL (consultori familiari e altri servizi territoriali)||||Toscana,003_0005,09_AREZZO Prot_2024-2026.txt,Azienda USL Toscana Sud Est,Azienda USL Toscana Sud Est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario protocollo,
AZIENDA USL TOSCANA SUD EST||ASL (consultori familiari e altri servizi territoriali)||||Toscana,005_0002,09_GROSSETO 2022 fpdf.txt,Azienda USL Toscana Sud est,Azienda USL Toscana Sud est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE||Servizi sociali comunali||||Toscana,001_0015,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,SEUS - Servizio Emergenza Urgenza Sociale,SEUS - Servizio Emergenza Urgenza Sociale,SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE,Altro,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Centrale operativa emergenza e unità territoriali,
SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE||Servizi sociali comunali||||Toscana,004_0030,09_FIRENZE Linee-di-indirizzo2024.txt,SEUS - Servizio emergenza urgenza sociale,SEUS - Servizio emergenza urgenza sociale,SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE,Altro,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Opera nelle fasi di post emergenza per la trasmissione dossier,
SERVIZI SOCIALI||Servizi sociali comunali||||Toscana,001_0020,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Servizi sociali comunali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,generico,attore,1,0,0,,Presa in carico integrata,
SERVIZI SOCIALI||Servizi sociali comunali||||Toscana,004_0023,09_FIRENZE Linee-di-indirizzo2024.txt,Servizi sociali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,generico,attore,1,0,0,,"Attori territoriali di varie aree (Fiorentina Nord Ovest, Fiorentina Sud Est, Mugello, Comune di Firenze)",
SERVIZI SOCIALI||Servizi sociali comunali||||Toscana,011_0022,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Servizi sociali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,generico,attore,1,0,0,,Segnalazione e presa in carico minori/persone non autonome,
COMANDO PROVINCIALE DEI CARABINIERI||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,001_0030,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comando Provinciale dei Carabinieri,Comando Provinciale dei Carabinieri,COMANDO PROVINCIALE DEI CARABINIERI,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
COMANDO PROVINCIALE DEI CARABINIERI||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,011_0025,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Comando Provinciale dei Carabinieri,Comando Provinciale dei Carabinieri,COMANDO PROVINCIALE DEI CARABINIERI,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,,0,0,0,,Destinatario di denunce/referti,
UFFICIO SCOLASTICO PROVINCIALE||Scuole/Ufficio scolastico provinciale e regionale||||Toscana,002_0008,09_APUANE_2015 Protocollo Prefettura.txt,Ufficio Scolastico Provinciale,Ufficio Scolastico Provinciale,UFFICIO SCOLASTICO PROVINCIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
UFFICIO SCOLASTICO PROVINCIALE||Scuole/Ufficio scolastico provinciale e regionale||||Toscana,009_0031,09_PISTOIA PROV .txt,Ufficio Scolastico Provinciale,Ufficio Scolastico Provinciale,UFFICIO SCOLASTICO PROVINCIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,firmatario,
CENTRO DI ASCOLTO SABINE DI MONTIGNOSO||Ente terzo settore - ETS (iscritto al RUNTS)||Massa-Carrara||Toscana,002_0018,09_APUANE_2015 Protocollo Prefettura.txt,Centro di Ascolto Sabine di Montignoso,Centro di Ascolto Sabine di Montignoso,CENTRO DI ASCOLTO SABINE DI MONTIGNOSO,CAV/Centri Antiviolenza,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Montignoso,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
CENTRO DI ASCOLTO SABINE DI MONTIGNOSO||Ente terzo settore - ETS (iscritto al RUNTS)||Massa-Carrara||Toscana,002_0025,09_APUANE_2015 Protocollo Prefettura.txt,Centro Sabine,Centro di Ascolto Sabine di Montignoso,CENTRO DI ASCOLTO SABINE DI MONTIGNOSO,CAV/Centri Antiviolenza,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Montignoso,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
