file,soggetto_incaricato,nome_entita,tipo_entita,macro_categoria,ruoli,ente_capofila,note
09_PISA PREF E PROV.txt,Associazione Casa della donna,Associazione Casa della donna,CAV/Centri Antiviolenza,CAV e Case Rifugio,gestione,,gestisce Centri Antiviolenza e Case rifugio
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Donne Insieme Valdelsa,Associazione Donne Insieme Valdelsa,CAV/Centri Antiviolenza,CAV e Case Rifugio,gestione,,"Gestione CAV e Casa Rifugio, fornisce dati e collabora alla rete"
09_PISA PREF E PROV.txt,Associazione Frida,Associazione Frida,CAV/Centri Antiviolenza,CAV e Case Rifugio,gestione,,gestisce Centri Antiviolenza e Case rifugio
09_GROSSETO 2022 fpdf.txt,Associazione Olympia de Gouges,Associazione Olympia de Gouges,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,gestione,,gestore del centro antiviolenza 'Olympia de Gouges'
09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Autorita giudiziaria,Autorita giudiziaria,Altro,Altro,coordinamento,,Soggetto destinatario e coordinatore delle attività
09_APUANE_2015 Protocollo Prefettura.txt,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,coordinamento,,Coordinamento italiano dei servizi contro il maltrattamento e l'abuso all'infanzia
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Centro Pari Opportunità Valdelsa,Centro Pari Opportunità Valdelsa,Organismi di parità,Altri attori istituzionali / professionali,coordinamento,,Capofila e coordinatore Tavolo Valdelsa
09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,Centro Pari Opportunità Valdichiana,Centro Pari Opportunità Valdichiana,Organismi di parità,Altri attori istituzionali / professionali,coordinamento,,"coordinamento, attività operative, promozione rete"
09_FIRENZE Linee-di-indirizzo2024.txt,Centro antiviolenza Artemisia,Centro antiviolenza Artemisia,CAV/Centri Antiviolenza,CAV e Case Rifugio,gestione,,"CAV accreditato e inserito nel registro regionale dei Centri Antiviolenza per l’Area Metropolitana fiorentina, gestisce 11 sportelli territoriali"
09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Comitato Regionale,Comitato Regionale,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,coordinamento,,Organo di governance Rete Codice Rosa
09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Comitato di Area Vasta,Comitato di Area Vasta,Altro,Altro,coordinamento,,Organo di governance Rete Codice Rosa
09_FIRENZE Linee-di-indirizzo2024.txt,Comune di Firenze: Area Tutela Valery,Comune di Firenze: Area Tutela Valery,Comuni,Enti territoriali / servizi comunali,gestione,,"Presente solo nel Comune di Firenze, consulenza specialistica e gestione diretta delle situazioni di violenza"
09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,Comune di Livorno,Comune di Livorno,Comuni,Enti territoriali / servizi comunali,coordinamento,Comune di Livorno,Coordinatore logistico e operativo del protocollo
09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,Comunità Montana del Cetona,Comunità Montana del Cetona,Enti territoriali sovracomunali,Enti territoriali sovracomunali,coordinamento,,ente capofila dal quale deriva il Centro Pari Opportunità Valdichiana
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Fondazione Territori Sociali Altavaldelsa,Fondazione Territori Sociali Altavaldelsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari,gestione,,Gestione servizi sociali area
09_PISA PREF E PROV.txt,Nuovo Maschile. Uomini liberi dalla violenza,Nuovo Maschile. Uomini liberi dalla violenza,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Associazionismo,gestione,,gestisce linea di ascolto e percorsi per uomini
09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,Osservatorio Sociale Regionale,Osservatorio Sociale Regionale,Altro,Altro,monitoraggio,,Supporto monitoraggio dati
09_AREZZO Prot_2024-2026.txt,Prefettura di Arezzo,Prefettura di Arezzo,Prefettura,Giustizia e forze dell'ordine,coordinamento,,Firmatario protocollo; co-coordinamento Tavolo Provinciale
09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Pronto Soccorso,Pronto Soccorso,"Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali,gestione,,Ambito sanitario per gestione accessi vittime
09_AREZZO Prot_2024-2026.txt,Provincia di Arezzo,Provincia di Arezzo,Province/Città metropolitane,Province/Città metropolitane,coordinamento,Provincia di Arezzo,Firmatario protocollo; Coordinatore della Rete Antiviolenza
09_GROSSETO 2022 fpdf.txt,Provincia di Grosseto,Provincia di Grosseto,Province/Città metropolitane,Province/Città metropolitane,coordinamento,,Coordinatore della Rete antiviolenza
09_LUCCA PROV.txt,Provincia di Lucca,Provincia di Lucca,Province/Città metropolitane,Province/Città metropolitane,coordinamento,,"Ente promotore, coordinamento politico del tavolo"
09_PISTOIA PROV .txt,Provincia di Pistoia,Provincia di Pistoia,Province/Città metropolitane,Province/Città metropolitane,coordinamento,,firmatario; soggetto capofila dell'Intesa
09_PISA PREF E PROV.txt,Regione Toscana,Regione Toscana,Regioni/Province Autonome,Regioni/Province Autonome,coordinamento,,riconosce Centri Antiviolenza e funzioni di coordinamento della Rete Antiviolenza
09_PRATO PREF.txt,Società della Salute Area Pratese,Società della Salute Area Pratese,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari,coordinamento,,"Capofila e promotore, firmatario del protocollo"
