file,soggetto_proponente
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Centro Pari Opportunità Valdelsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Poggibonsi
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Colle di Val d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di San Gimignano
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Casole d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Radicondoli
09_LUCCA PROV.txt,Provincia di Lucca
09_PISA PREF E PROV.txt,Prefettura di Pisa
09_PISA PREF E PROV.txt,Provincia di Pisa
09_PRATO PREF.txt,Società della Salute Area Pratese
09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,Centro Pari Opportunità Valdichiana
