record_id,file,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,comune_finale,provincia_finale,regione_finale,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf
001_0001,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Poggibonsi,Comune di Poggibonsi,COMUNE DI POGGIBONSI,Comuni,Comuni,Enti territoriali / servizi comunali,Poggibonsi,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,
001_0002,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Colle di Val d’Elsa,Comune di Colle di Val d'Elsa,COMUNE DI COLLE DI VAL D'ELSA,Comuni,Comuni,Enti territoriali / servizi comunali,Colle di Val d'Elsa,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,
001_0003,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di San Gimignano,Comune di San Gimignano,COMUNE DI SAN GIMIGNANO,Comuni,Comuni,Enti territoriali / servizi comunali,San Gimignano,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,
001_0004,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Casole d’Elsa,Comune di Casole d'Elsa,COMUNE DI CASOLE D'ELSA,Comuni,Comuni,Enti territoriali / servizi comunali,Casole d'Elsa,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,
001_0005,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comune di Radicondoli,Comune di Radicondoli,COMUNE DI RADICONDOLI,Comuni,Comuni,Enti territoriali / servizi comunali,Radicondoli,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,
001_0006,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Centro Pari Opportunità Valdelsa,Centro Pari Opportunità Valdelsa,CENTRO PARI OPPORTUNITA VALDELSA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,soggetto_proponente|attore,1,0,1,,Capofila e coordinatore Tavolo Valdelsa,
001_0007,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Donne Insieme Valdelsa,Associazione Donne Insieme Valdelsa,ASSOCIAZIONE DONNE INSIEME VALDELSA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,Colle di Val d'Elsa,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,"Gestione CAV e Casa Rifugio, fornisce dati e collabora alla rete",91016590522
001_0008,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Casa Rifugio D.I.V.E.,Casa Rifugio D.I.V.E,CASA RIFUGIO D.I.V.E,Case Rifugio,Case Rifugio,CAV e Case Rifugio,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Gestita dall’Associazione Donne Insieme Valdelsa,
001_0009,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Azienda USL Toscana Sud Est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
001_0010,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Consultorio Azienda USL Toscana Sud Est Zona Valdelsa,Consultorio Azienda USL Toscana Sud Est Zona Valdelsa,CONSULTORIO AZIENDA USL TOSCANA SUD EST ZONA VALDELSA,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Consultorio familiare,
