record_id,file,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,comune_finale,provincia_finale,regione_finale,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,n_record_aggregati,files,ruoli_documentali_aggregati
014_0013,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,Ambito territoriale per la provincia di Piacenza,Ambito territoriale per la provincia di Piacenza,AMBITO TERRITORIALE PER LA PROVINCIA DI PIACENZA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Piacenza,Piacenza,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,attore|firmatario
010_0030,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Assessorato Pari Opportunità,Assessorato Pari Opportunita,ASSESSORATO PARI OPPORTUNITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,,0,0,0,,,,1,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,
009_0034,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Campus di Rimini,Campus di Rimini,CAMPUS DI RIMINI,Università,Università,Altri attori istituzionali / professionali,Rimini,Rimini,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,attore|firmatario
019_0006,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Centro Pari Opportunità Valdelsa,Centro Pari Opportunità Valdelsa,CENTRO PARI OPPORTUNITA VALDELSA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,soggetto_proponente|attore,1,0,1,,Capofila e coordinatore Tavolo Valdelsa,,1,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,attore|soggetto_proponente
030_0011,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,Centro Pari Opportunità Valdichiana,Centro Pari Opportunità Valdichiana,CENTRO PARI OPPORTUNITA VALDICHIANA,Altro,Organismi di parità,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,soggetto_proponente|attore,1,0,1,,"coordinamento, attività operative, promozione rete",,1,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,attore|soggetto_proponente
010_0031,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Centro Territoriale Permanente per l’Educazione degli Adulti,Centro Territoriale Permanente per l'Educazione degli Adulti,CENTRO TERRITORIALE PERMANENTE PER L'EDUCAZIONE DEGLI ADULTI,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,,none,generico,attore,1,0,0,,,,1,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,attore
019_0040,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comitato Pari Opportunità dell’Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,COMITATO PARI OPPORTUNITA DELL'ORDINE DEI DOTTORI COMMERCIALISTI E DEGLI ESPERTI CONTABILI DI SIENA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario,,1,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,attore
007_0039,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Comitato Pari Opportunità presso l'Ordine degli Avvocati di Ferrara,Comitato Pari Opportunita presso l'Ordine degli Avvocati di Ferrara,COMITATO PARI OPPORTUNITA PRESSO L'ORDINE DEGLI AVVOCATI DI FERRARA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Firmatario, promozione cultura parità di genere",,1,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,attore|firmatario|soggetto_proponente
012_0029,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Commissione Pari Opportunità,Commissione Pari Opportunita,COMMISSIONE PARI OPPORTUNITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,,0,0,0,,,,1,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,
021_0012,09_AREZZO Prot_2024-2026.txt,Consigliera Provinciale di Parità,Consigliera Provinciale di Parità,CONSIGLIERA PROVINCIALE DI PARITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario protocollo,,2,09_AREZZO Prot_2024-2026.txt | 09_PISTOIA PROV .txt,attore|firmatario
011_0014,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Consigliera di Parità Provinciale di Reggio Emilia,Consigliera di Parità Provinciale di Reggio Emilia,CONSIGLIERA DI PARITA PROVINCIALE DI REGGIO EMILIA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Reggio Emilia,,,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,Firmatario del protocollo,,1,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,attore|firmatario|soggetto_proponente
024_0009,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,Consigliera di Parità della Provincia di Livorno,Consigliera di Parità della Provincia di Livorno,CONSIGLIERA DI PARITA DELLA PROVINCIA DI LIVORNO,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Livorno,Livorno,Toscana,json,valido_localizzato,attore,1,0,0,,,,1,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,attore
012_0023,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Consigliera di parità della Provincia di Modena,Consigliera di Parità della Provincia di Modena,CONSIGLIERA DI PARITA DELLA PROVINCIA DI MODENA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Modena,Modena,Emilia-Romagna,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,1,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,attore|firmatario|soggetto_proponente
016_0003,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Consigliera di parità della Provincia di Piacenza,Consigliera di Parità della Provincia di Piacenza,CONSIGLIERA DI PARITA DELLA PROVINCIA DI PIACENZA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Piacenza,Piacenza,Emilia-Romagna,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,,1,08_2406_rta_08_241015092005_4166---DG216-2024.txt,attore|soggetto_proponente
026_0051,09_PISA PREF E PROV.txt,Consigliera di Parita della Provincia di Pisa,Consigliera di Parità della Provincia di Pisa,CONSIGLIERA DI PARITA DELLA PROVINCIA DI PISA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Pisa,Pisa,Toscana,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,1,09_PISA PREF E PROV.txt,attore|firmatario|soggetto_proponente
009_0030,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Consigliera di Parita della Provincia di Rimini,Consigliera di Parità della Provincia di Rimini,CONSIGLIERA DI PARITA DELLA PROVINCIA DI RIMINI,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Rimini,Rimini,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,attore|firmatario
025_0012,09_LUCCA PROV.txt,Consigliera di Parita di Lucca,Consigliera di Parità di Lucca,CONSIGLIERA DI PARITA DI LUCCA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Lucca,Lucca,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,09_LUCCA PROV.txt,attore|firmatario
018_0010,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Consigliera di Parita provinciale,Consigliera di Parità provinciale,CONSIGLIERA DI PARITA PROVINCIALE,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,firmatario|attore,1,1,0,,Firmatario del protocollo,,1,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,attore|firmatario
012_0031,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Consigliere di Parità,Consigliere di Parità,CONSIGLIERE DI PARITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,,0,0,0,,,,1,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,
005_0084,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Consulta per le pari opportunità,Consulta per le pari opportunita,CONSULTA PER LE PARI OPPORTUNITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,,0,0,0,,citata come organo,,1,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,
005_0086,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Dipartimento per le Pari Opportunità della Presidenza del Consiglio dei Ministri,Dipartimento per le Pari Opportunita della Presidenza del Consiglio dei Ministri,DIPARTIMENTO PER LE PARI OPPORTUNITA DELLA PRESIDENZA DEL CONSIGLIO DEI MINISTRI,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,,0,0,0,,,,1,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,
009_0036,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Direzioni Scolastiche,Direzioni Scolastiche,DIREZIONI SCOLASTICHE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,,none,generico,attore,1,0,0,,,,2,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,attore
006_0032,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Istituzioni scolastiche autonome della provincia di Ferrara,Istituzioni scolastiche autonome della provincia di Ferrara,ISTITUZIONI SCOLASTICHE AUTONOME DELLA PROVINCIA DI FERRARA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,attore|firmatario
012_0007,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,MIUR - Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VIII Ambito Territoriale per la provincia di Modena,MIUR - Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VIII Ambito Territoriale per la provincia di Modena,MIUR - UFFICIO SCOLASTICO REGIONALE PER L'EMILIA ROMAGNA - UFFICIO VIII AMBITO TERRITORIALE PER LA PROVINCIA DI MODENA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Modena,Modena,Emilia-Romagna,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,1,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,attore|firmatario|soggetto_proponente
028_0016,09_PRATO PREF.txt,MIUR Ufficio Scolastico Regionale per la Toscana XI Ambito Territoriale di Prato e Pistoia sede di Prato,MIUR Ufficio Scolastico Regionale per la Toscana XI Ambito Territoriale di Prato e Pistoia sede di Prato,MIUR UFFICIO SCOLASTICO REGIONALE PER LA TOSCANA XI AMBITO TERRITORIALE DI PRATO E PISTOIA SEDE DI PRATO,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Prato,Prato,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,1,09_PRATO PREF.txt,attore|firmatario
019_0039,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,ORDINE DEI DOTTORI COMMERCIALISTI E DEGLI ESPERTI CONTABILI DI SIENA,Altri ordini professionali,Altri ordini professionali,Altri attori istituzionali / professionali,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario,,1,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,attore
006_0020,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine dei Farmacisti di Ferrara,Ordine dei Farmacisti di Ferrara,ORDINE DEI FARMACISTI DI FERRARA,Ordine medici e odontoiatri e Ordine farmacisti,Ordine medici e odontoiatri e Ordine farmacisti,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,attore|firmatario
006_0018,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine dei Giornalisti di Ferrara,Ordine dei Giornalisti di Ferrara,ORDINE DEI GIORNALISTI DI FERRARA,Altri ordini professionali,Altri ordini professionali,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,attore|firmatario
006_0019,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ordine dei Medici Chirurghi e degli Odontoiatri di Ferrara,Ordine dei Medici Chirurghi e degli Odontoiatri di Ferrara,ORDINE DEI MEDICI CHIRURGHI E DEGLI ODONTOIATRI DI FERRARA,Ordine medici e odontoiatri e Ordine farmacisti,Ordine medici e odontoiatri e Ordine farmacisti,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,attore|firmatario
028_0022,09_PRATO PREF.txt,Scuole,Scuole,SCUOLE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Arezzo,Arezzo,Toscana,json,valido_localizzato,,0,0,0,,Destinatarie di progetti formativi,01729700516,1,09_PRATO PREF.txt,
008_0026,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Uffici Pari opportunità,Uffici Pari opportunita,UFFICI PARI OPPORTUNITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,,none,generico,,0,0,0,,,,1,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,
020_0008,09_APUANE_2015 Protocollo Prefettura.txt,Ufficio Scolastico Provinciale,Ufficio Scolastico Provinciale,UFFICIO SCOLASTICO PROVINCIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,2,09_APUANE_2015 Protocollo Prefettura.txt | 09_PISTOIA PROV .txt,attore|firmatario
021_0017,09_AREZZO Prot_2024-2026.txt,Ufficio Scolastico Provinciale di Arezzo,Ufficio Scolastico Provinciale di Arezzo,UFFICIO SCOLASTICO PROVINCIALE DI AREZZO,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Arezzo,Arezzo,Toscana,json,valido_localizzato,,0,0,0,,Citato come soggetto storico dei protocolli precedenti e indicato per azioni di formazione,,1,09_AREZZO Prot_2024-2026.txt,
023_0034,09_GROSSETO 2022 fpdf.txt,Ufficio Scolastico Provinciale di Grosseto,Ufficio Scolastico Provinciale di Grosseto,UFFICIO SCOLASTICO PROVINCIALE DI GROSSETO,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Grosseto,Grosseto,Toscana,json,valido_localizzato,attore,1,0,0,,,,1,09_GROSSETO 2022 fpdf.txt,attore
025_0015,09_LUCCA PROV.txt,Ufficio Scolastico Provinciale di Lucca,Ufficio Scolastico Provinciale di Lucca,UFFICIO SCOLASTICO PROVINCIALE DI LUCCA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Lucca,Lucca,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,09_LUCCA PROV.txt,attore|firmatario
011_0009,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Ufficio Scolastico Provinciale di Reggio Emilia,Ufficio Scolastico Provinciale di Reggio Emilia,UFFICIO SCOLASTICO PROVINCIALE DI REGGIO EMILIA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Reggio Emilia,,,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,Firmatario del protocollo,,1,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,attore|firmatario|soggetto_proponente
006_0014,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Ufficio Scolastico Regionale VI Ambito Territoriale di Ferrara,Ufficio Scolastico Regionale VI Ambito Territoriale di Ferrara,UFFICIO SCOLASTICO REGIONALE VI AMBITO TERRITORIALE DI FERRARA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,attore|firmatario
026_0044,09_PISA PREF E PROV.txt,Ufficio Scolastico Regionale della Toscana Ambito Territoriale della provincia di Pisa,Ufficio Scolastico Regionale della Toscana Ambito Territoriale della provincia di Pisa,UFFICIO SCOLASTICO REGIONALE DELLA TOSCANA AMBITO TERRITORIALE DELLA PROVINCIA DI PISA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Pisa,Pisa,Toscana,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,1,09_PISA PREF E PROV.txt,attore|firmatario|soggetto_proponente
009_0025,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Ufficio Scolastico Regionale per l’Emilia Romagna - Ufficio VII - Ambito territoriale di Forli-Cesena e Rimini,Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VII - Ambito territoriale di Forli-Cesena e Rimini,UFFICIO SCOLASTICO REGIONALE PER L'EMILIA ROMAGNA - UFFICIO VII - AMBITO TERRITORIALE DI FORLI-CESENA E RIMINI,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,,none,generico,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,attore|firmatario
007_0045,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,"Ufficio Scolastico Regionale per l’Emilia Romagna Ufficio VI, Ambito Territoriale di Ferrara Provinciale","Ufficio Scolastico Regionale per l'Emilia Romagna Ufficio VI, Ambito Territoriale di Ferrara Provinciale","UFFICIO SCOLASTICO REGIONALE PER L'EMILIA ROMAGNA UFFICIO VI, AMBITO TERRITORIALE DI FERRARA PROVINCIALE",Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Ferrara,Ferrara,Emilia-Romagna,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Coinvolto in tavoli di prevenzione, collaborazioni e iniziative",,1,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,attore|firmatario|soggetto_proponente
003_0021,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,Ufficio Scolastico Regionale per la Liguria,Ufficio Scolastico Regionale per la Liguria,UFFICIO SCOLASTICO REGIONALE PER LA LIGURIA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,,none,generico,firmatario|attore,1,1,0,,Firmatario del protocollo,,1,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,attore|firmatario
021_0006,09_AREZZO Prot_2024-2026.txt,Ufficio Scolastico Regionale per la Toscana Ambito Territoriale della Provincia di Arezzo Ufficio VI,Ufficio Scolastico Regionale per la Toscana Ambito Territoriale della Provincia di Arezzo Ufficio VI,UFFICIO SCOLASTICO REGIONALE PER LA TOSCANA AMBITO TERRITORIALE DELLA PROVINCIA DI AREZZO UFFICIO VI,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Arezzo,Arezzo,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario protocollo,,1,09_AREZZO Prot_2024-2026.txt,attore|firmatario
009_0041,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Ufficio Scolastico Territoriale,Ufficio Scolastico Territoriale,UFFICIO SCOLASTICO TERRITORIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,,none,generico,attore,1,0,0,,,,1,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,attore
021_0016,09_AREZZO Prot_2024-2026.txt,Ufficio Scolastico Territoriale di Arezzo,Ufficio Scolastico Territoriale di Arezzo,UFFICIO SCOLASTICO TERRITORIALE DI AREZZO,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Arezzo,Arezzo,Toscana,json,valido_localizzato,,0,0,0,,Citato come soggetto storico dei protocolli precedenti,,1,09_AREZZO Prot_2024-2026.txt,
010_0008,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Ufficio Scolastico regionale per l’Emilia-Romagna,Ufficio Scolastico regionale per l'Emilia-Romagna,UFFICIO SCOLASTICO REGIONALE PER L'EMILIA-ROMAGNA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,,none,generico,firmatario|attore,1,1,0,,firmatario,,2,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,attore|firmatario
021_0018,09_AREZZO Prot_2024-2026.txt,Ufficio delle Consigliere di Parità per la Provincia di Arezzo,Ufficio delle Consigliere di Parità per la Provincia di Arezzo,UFFICIO DELLE CONSIGLIERE DI PARITA PER LA PROVINCIA DI AREZZO,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Arezzo,Arezzo,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Citato come soggetto storico dei protocolli precedenti,,1,09_AREZZO Prot_2024-2026.txt,attore|firmatario
012_0028,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Ufficio scolastico provinciale di Modena,Ufficio scolastico provinciale di Modena,UFFICIO SCOLASTICO PROVINCIALE DI MODENA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,Modena,Modena,Emilia-Romagna,json,valido_localizzato,firmatario|attore,1,1,0,,,,1,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,attore|firmatario
