file,files,regione,firmatario,tipo_30,tipo_10
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt | 13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt | 13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,Abruzzo,Associazione Dafne Onlus,Altro,altro
18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,Calabria,Associazione Mondiversi Onlus,Altro,altro
16_taranto_protocollo Prefettura ProvinciaTaranto.txt,16_taranto_protocollo Prefettura ProvinciaTaranto.txt,Puglia,Associazione onlus Alzaia,Altro,altro
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Calabria,Centro Calabrese di Solidarieta,Altro,altro
12_2406_rta_12_241008151247_4166---3.prot.txt,12_2406_rta_12_241008151247_4166---3.prot.txt,Lazio,Centro Italiano di Solidarieta don Mario Picchi ETS,Altro,altro
03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,Lombardia,Fondazione Giuseppe Antonio Galignani E.T.S,Altro,altro
03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,Lombardia,Fondazione Punto Missione ETS,Altro,altro
03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,Lombardia,Fondazione Tuendelee ONLUS,Altro,altro
16_bat_convenzione CAV - ASL BT.txt,16_bat_convenzione CAV - ASL BT.txt,Puglia,Osservatorio Giulia e Rossella,Altro,altro
13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Abruzzo,14a DELEGAZIONE REGIONALE ABRUZZO,Altro,altro
09_PISTOIA PROV .txt,09_PISTOIA PROV .txt,Toscana,365giornialfemmile,Altro,altro
12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,Lazio,A.GE.D.O,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,ACER Bologna,Altro,altro
12_2406_rta_12_241003100516_4166---1ProtCAVPAOLALATTESLibroteka(1).txt,12_2406_rta_12_241003100516_4166---1ProtCAVPAOLALATTESLibroteka(1).txt,Lazio,ACR La Libroteca,Altro,altro
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Emilia-Romagna,AFM - Farmacie Comunali Ferrara,Altro,altro
03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,Lombardia,AFOL Sud Milano,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,AIDA,Altro,altro
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,AIED,Altro,altro
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Calabria,ANCI Calabria,Altro,altro
07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,Liguria,ANCI Liguria,Altro,altro
16_terreg_Prot_CGIL - CISL - CONFINDUSTRIA_CAV.txt,16_terreg_Prot_CGIL - CISL - CONFINDUSTRIA_CAV.txt,Puglia,ANCI Puglia,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,APE,Altro,altro
12_2406_rta_12_240926122148_4166---2024.1153010-AccordotralepartiPonteDonna–UnderdogSocialClubCAVMarielleFranco-2(1).txt,12_2406_rta_12_240926122148_4166---2024.1153010-AccordotralepartiPonteDonna–UnderdogSocialClubCAVMarielleFranco-2(1).txt,Lazio,ASD Underdog Social Club,Altro,altro
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,ASP Cesena Valle del Savio,Altro,altro
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,ASP Città di Piacenza,Altro,altro
12_2406_rta_12_241008150836_4166---2.prot.txt,12_2406_rta_12_241008150836_4166---2.prot.txt,Lazio,ASPIC per la scuola,Altro,altro
12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,Lazio,ASS. HUESERA,Altro,altro
