regione,Comunale,Ambito intercomunale (Unione comuni etc.),Area metropolitana/provinciale,Ambito sociale,Ambito sanitario coincidente con articolazioni locali delle Aziende Sanitarie Locali e/o Case della Salute e/o ATS,Ambito regionale/Prov. Autonome,Ambito distrettuale - legale,Altro
Abruzzo,0,0,0,1,0,12,0,0
Basilicata,0,0,0,0,0,2,0,0
Calabria,0,0,0,0,0,13,0,0
Emilia-Romagna,0,0,3,0,0,12,0,0
Friuli-Venezia Giulia,0,0,0,0,0,2,0,0
Lazio,0,0,41,1,0,52,1,0
Liguria,0,0,0,0,0,2,1,0
Lombardia,0,0,3,0,0,23,0,1
Marche,0,0,0,0,0,5,0,0
Piemonte,0,0,5,0,0,15,2,0
Puglia,0,0,1,2,1,11,1,0
Sardegna,0,0,0,0,0,1,0,0
Toscana,0,0,1,1,0,10,0,0
Trento,0,0,0,0,0,3,0,0
Umbria,0,0,0,0,0,1,0,0
Valle d'Aosta/Vallée d'Aoste,0,0,0,0,0,1,0,0
Veneto,0,0,1,0,0,8,0,0
