regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO
Abruzzo,4,0,5,0,0,0,0,0,1,0,0
Calabria,6,1,0,0,0,0,0,0,1,2,0
Emilia-Romagna,4,1,4,1,0,0,0,3,2,6,0
Friuli-Venezia Giulia,0,1,5,0,0,0,0,0,0,0,0
Lazio,1,0,3,1,0,0,0,2,3,0,0
Liguria,0,0,4,0,0,0,0,0,1,0,0
Lombardia,0,3,28,5,0,2,4,1,6,3,0
Marche,0,2,2,0,0,3,0,0,1,0,0
Piemonte,6,0,3,0,0,6,0,2,11,0,0
Puglia,1,1,0,2,0,1,1,0,2,1,0
Toscana,0,1,2,1,0,3,0,1,2,5,0
Trento,1,0,0,3,0,0,0,0,1,0,0
Umbria,0,0,11,0,0,0,0,0,0,0,0
Veneto,0,0,7,0,0,0,0,0,0,0,0
