regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO
Abruzzo,0,0,0,0,0,0,0,3,1,1,0
Calabria,1,0,0,0,0,0,0,1,2,0,0
Emilia-Romagna,2,0,1,1,0,0,0,4,2,2,0
Friuli-Venezia Giulia,0,0,3,0,0,0,0,0,0,0,0
Lazio,7,0,0,2,0,0,0,8,2,0,0
Liguria,2,0,0,0,0,0,0,0,1,0,0
Lombardia,11,0,2,2,0,2,0,10,1,4,0
Marche,1,0,0,0,0,0,0,2,0,0,0
Piemonte,4,0,5,5,0,4,0,2,11,1,0
Puglia,4,0,1,1,0,1,0,11,4,0,0
Toscana,1,0,1,1,0,1,0,1,0,0,0
Trento,1,0,1,1,0,0,0,1,0,0,0
Veneto,1,0,2,0,0,5,0,4,0,0,0
