regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO
Calabria,1,0,0,0,0,1,0,0,1,1,0
Emilia-Romagna,0,0,0,0,0,0,0,0,2,0,0
Friuli-Venezia Giulia,0,0,0,0,0,0,0,0,1,0,0
Lazio,0,0,1,0,0,0,0,0,2,0,0
Liguria,0,0,0,0,0,0,0,0,1,0,0
Lombardia,1,0,0,0,0,0,0,2,0,0,0
Marche,0,2,0,0,0,0,0,1,1,0,0
Piemonte,0,0,2,1,0,0,0,1,8,0,0
Puglia,3,0,0,0,1,1,1,0,4,0,0
Toscana,0,0,0,0,0,0,0,0,1,0,0
Valle d'Aosta/Vallée d'Aoste,0,0,0,0,0,0,0,0,2,0,0
Veneto,1,0,0,0,0,0,0,1,2,0,0
