regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO
Abruzzo,9,15,14,11,0,1,3,5,8,0,0
Calabria,1,2,2,0,0,0,0,5,1,1,0
Emilia-Romagna,4,14,12,9,2,4,4,24,8,4,0
Lazio,4,4,3,3,2,0,5,6,3,2,0
Liguria,0,0,0,0,1,0,0,0,0,0,0
Lombardia,17,44,51,30,1,36,11,43,26,11,0
Marche,0,2,3,0,0,1,0,0,0,0,0
Piemonte,7,6,6,4,0,5,2,4,5,3,0
Puglia,4,11,5,13,1,8,1,1,0,1,0
Sardegna,0,0,0,0,1,0,0,0,0,0,0
Toscana,0,1,10,0,0,4,1,0,0,2,0
Trento,0,0,0,2,0,1,0,0,0,0,0
Umbria,0,0,0,0,1,1,0,0,1,0,0
Valle d'Aosta/Vallée d'Aoste,0,0,0,0,1,0,0,0,0,0,0
Veneto,3,4,3,1,0,2,1,4,0,0,0
