regione,reti,soggetti,attori,firmatari,proponenti,governance
Abruzzo,13,258,216,206,65,15
Basilicata,2,9,9,0,0,0
Calabria,13,185,136,96,13,16
Emilia-Romagna,15,478,419,287,85,34
Friuli-Venezia Giulia,2,87,43,76,0,14
Lazio,95,577,330,222,32,32
Liguria,3,96,82,40,1,8
Lombardia,27,1049,972,814,270,87
Marche,5,208,168,163,6,14
Piemonte,22,350,237,153,42,65
Puglia,37,398,296,159,45,36
Sardegna,1,117,117,109,1,0
Toscana,12,340,288,178,18,21
Trento,3,105,95,36,0,9
Umbria,1,45,45,0,3,11
Valle d'Aosta/Vallée d'Aoste,1,22,10,0,1,2
Veneto,9,298,266,182,21,17
