regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO
Abruzzo,23,35,64,31,2,14,19,34,33,5,0
Basilicata,3,0,3,0,1,0,0,1,2,0,0
Calabria,33,32,30,16,7,11,10,10,26,8,0
Emilia-Romagna,46,51,136,43,10,20,19,60,71,22,0
Friuli-Venezia Giulia,6,18,32,5,0,0,4,15,6,2,0
Lazio,98,41,56,36,6,16,43,120,150,9,0
Liguria,16,21,9,17,1,6,2,9,14,1,0
Lombardia,118,70,291,102,1,97,37,203,110,21,0
Marche,16,29,15,17,1,37,34,42,9,8,0
Piemonte,52,17,36,50,6,36,14,33,93,13,0
Puglia,32,28,50,43,4,40,6,29,42,4,0
Sardegna,11,27,0,12,1,30,1,27,7,1,0
Toscana,23,46,133,20,3,29,11,32,29,13,0
Trento,15,11,17,33,1,10,4,24,20,0,0
Umbria,0,15,11,4,1,1,1,9,2,1,0
Valle d'Aosta/Vallée d'Aoste,2,0,1,3,3,2,1,3,7,0,0
Veneto,33,38,76,22,3,18,20,42,14,2,0
