id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti,n_gestione,n_monitoraggio,n_coordinamento,n_governance
13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti,Abruzzo,nan,Ambito regionale/Prov. Autonome,0,altro,19,18,15,10,0,0,2,2
13_2406_rta_13_241122101856_4166---Protocollodirete_AlphaGuardiagrele.txt,13_2406_rta_13_241122101856_4166---Protocollodirete_AlphaGuardiagrele.txt,2406_rta_13_241122101856_4166---Protocollodirete_AlphaGuardiagrele,Abruzzo,Chieti,Ambito regionale/Prov. Autonome,0,associazionismo,19,18,13,6,0,0,2,2
13_2406_rta_13_241122102615_4166---PROTOCOLLOD_INTESACOMUNEAQ_donatellatelliniCAV2023.txt,13_2406_rta_13_241122102615_4166---PROTOCOLLOD_INTESACOMUNEAQ_donatellatelliniCAV2023.txt,2406_rta_13_241122102615_4166---PROTOCOLLOD_INTESACOMUNEAQ_donatellatelliniCAV2023,Abruzzo,nan,Ambito regionale/Prov. Autonome,0,Servizi comunali,13,9,6,6,0,0,0,0
13_2406_rta_13_241122103653_4166---protocollodirete_cavlafenice_provinciateramo.txt,13_2406_rta_13_241122103653_4166---protocollodirete_cavlafenice_provinciateramo.txt,2406_rta_13_241122103653_4166---protocollodirete_cavlafenice_provinciateramo,Abruzzo,Teramo,Ambito regionale/Prov. Autonome,0,Servizi comunali,37,37,37,0,0,0,0,0
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ,Abruzzo,Chieti,Ambito regionale/Prov. Autonome,0,Settore Educativo,54,54,53,11,0,0,2,2
13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ,Abruzzo,nan,Ambito regionale/Prov. Autonome,0,altro,5,5,5,0,0,0,0,0
13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano,Abruzzo,nan,Ambito regionale/Prov. Autonome,0,CAV,3,1,0,0,0,0,1,1
13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,2406_rta_13_241122104842_4166---Protocollodirete_DAFNE,Abruzzo,nan,Ambito regionale/Prov. Autonome,0,associazionismo,5,4,4,0,0,0,0,0
13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva,Abruzzo,Chieti,Ambito regionale/Prov. Autonome,0,settore sanitario,21,19,18,14,1,0,1,2
13_2406_rta_13_241122105938_4166---ACCORDOOPERATIVO.txt,13_2406_rta_13_241122105938_4166---ACCORDOOPERATIVO.txt,2406_rta_13_241122105938_4166---ACCORDOOPERATIVO,Abruzzo,nan,Ambito regionale/Prov. Autonome,0,settore sanitario,20,8,6,3,1,0,1,2
13_2406_rta_13_241122110421_4166---PROTOCOLLOOPERATIVO.txt,13_2406_rta_13_241122110421_4166---PROTOCOLLOOPERATIVO.txt,2406_rta_13_241122110421_4166---PROTOCOLLOOPERATIVO,Abruzzo,nan,Ambito sociale,0,associazionismo,8,5,6,0,3,0,0,3
13_2406_rta_13_241122111153_4166---PROTOCOLLOCASTELDISANGROEASL.txt,13_2406_rta_13_241122111153_4166---PROTOCOLLOCASTELDISANGROEASL.txt,2406_rta_13_241122111153_4166---PROTOCOLLOCASTELDISANGROEASL,Abruzzo,L'Aquila,Ambito regionale/Prov. Autonome,0,Territorio,27,12,17,0,0,0,0,0
13_2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA.txt,13_2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA.txt,2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA,Abruzzo,Pescara,Ambito regionale/Prov. Autonome,0,associazionismo,27,26,26,15,0,0,1,1
17_2406_rta_17_250506142731_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,17_2406_rta_17_250506142731_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,2406_rta_17_250506142731_4166---Tavolodicoordinamentoemonitoraggio30-01-24,Basilicata,nan,Ambito regionale/Prov. Autonome,0,CAV,9,9,0,0,0,0,0,0
17_2406_rta_17_250506142746_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,17_2406_rta_17_250506142746_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,2406_rta_17_250506142746_4166---Tavolodicoordinamentoemonitoraggio30-01-24,Basilicata,,Ambito regionale/Prov. Autonome,0,NON CLASSIFICATO,0,0,0,0,0,0,0,0
18_2406_rta_18_240925130829_4166---PROTOCOLLODIINTESA_COMUNEDIMENDICINO.txt,18_2406_rta_18_240925130829_4166---PROTOCOLLODIINTESA_COMUNEDIMENDICINO.txt,2406_rta_18_240925130829_4166---PROTOCOLLODIINTESA_COMUNEDIMENDICINO,Calabria,nan,Ambito regionale/Prov. Autonome,0,CAV,9,3,3,0,0,0,0,0
18_2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo.txt,18_2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo.txt,2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo,Calabria,nan,Ambito regionale/Prov. Autonome,0,CAV,4,4,4,0,0,0,2,2
18_2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI.txt,18_2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI.txt,2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI,Calabria,nan,Ambito regionale/Prov. Autonome,0,CAV,3,2,2,0,0,0,0,0
18_2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna.txt,18_2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna.txt,2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna,Calabria,nan,Ambito regionale/Prov. Autonome,0,associazionismo,4,3,2,1,0,0,1,1
