id_rete,input_json,titolo_rete,file,regione,provincia,comune_soggetto,nome_soggetto,tipo_dettaglio,tipo_aggregato_10,macro_tipologia,ruolo_attore,ruolo_firmatario,ruolo_proponente,ruolo_gestione,ruolo_monitoraggio,ruolo_coordinamento,ruolo_governance_totale,stato_osservazione
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,all_risultati_enriched_2.4.json,2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Abruzzo,Chieti,San Salvo,Associazione Dafne Onlus,Altro,altro,altro,1,1,1,0,0,1,1,valido_localizzato
18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,all_risultati_enriched_2.4.json,2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto,18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,Calabria,Cosenza,Corigliano-Rossano,Associazione Mondiversi Onlus,Altro,altro,altro,0,1,0,0,0,0,0,valido_localizzato
16_2406_rta_16_250410170705_4166---protocolloPrefetturaProvinciaTaranto.txt,all_risultati_enriched_2.4.json,2406_rta_16_250410170705_4166---protocolloPrefetturaProvinciaTaranto,16_2406_rta_16_250410170705_4166---protocolloPrefetturaProvinciaTaranto.txt,Puglia,Taranto,Taranto,Associazione onlus Alzaia,Altro,altro,altro,1,1,0,0,0,0,0,valido_localizzato
12_2406_rta_12_241004144338_4166---06-ProtocolloComunediVALLECORSA.txt,all_risultati_enriched_2.4.json,2406_rta_12_241004144338_4166---06-ProtocolloComunediVALLECORSA,12_2406_rta_12_241004144338_4166---06-ProtocolloComunediVALLECORSA.txt,Lazio,Roma,Velletri,Caritas,Altro,altro,altro,0,0,0,0,0,0,0,valido_localizzato
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,all_risultati_enriched_2.4.json,2406_rta_18_240926102706_4166---protocollomondorosa2013,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Calabria,Catanzaro,Catanzaro,Centro Calabrese di Solidarieta,Altro,altro,altro,1,1,1,1,0,1,1,valido_localizzato
12_2406_rta_12_241008151247_4166---3.prot.txt,all_risultati_enriched_2.4.json,2406_rta_12_241008151247_4166---3.prot,12_2406_rta_12_241008151247_4166---3.prot.txt,Lazio,Roma,Roma,Centro Italiano di Solidarieta don Mario Picchi ETS,Altro,altro,altro,1,1,0,0,0,0,0,valido_localizzato
12_2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna.txt,all_risultati_enriched_2.4.json,2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna,12_2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna.txt,Lazio,Roma,Roma,Consiglio Nazionale,Altro,altro,altro,0,0,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,all_risultati_enriched_2.4.json,2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo,03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,Lombardia,Brescia,Palazzolo sull'Oglio,Fondazione Giuseppe Antonio Galignani E.T.S,Altro,altro,altro,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,all_risultati_enriched_2.4.json,2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo,03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,Lombardia,Brescia,Rodengo Saiano,Fondazione Punto Missione ETS,Altro,altro,altro,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,all_risultati_enriched_2.4.json,2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto,03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,Lombardia,Milano,Melzo,Fondazione Tuendelee ONLUS,Altro,altro,altro,1,1,0,0,0,0,0,valido_localizzato
16_bat_convenzione CAV - ASL BT.txt,all_risultati_enriched_2.4.json,bat_convenzione CAV - ASL BT,16_bat_convenzione CAV - ASL BT.txt,Puglia,Barletta-Andria-Trani,Barletta,Osservatorio Giulia e Rossella,Altro,altro,altro,1,1,0,1,1,0,1,valido_localizzato
13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,all_risultati_enriched_2.4.json,2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ,13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Abruzzo,nan,nan,14a DELEGAZIONE REGIONALE ABRUZZO,Altro,altro,altro,1,1,0,0,0,0,0,valido_localizzato
12_2406_rta_12_241004114912_4166---ProtocolloRetePrantiviolenzaFrosinone.txt,all_risultati_enriched_2.4.json,2406_rta_12_241004114912_4166---ProtocolloRetePrantiviolenzaFrosinone,12_2406_rta_12_241004114912_4166---ProtocolloRetePrantiviolenzaFrosinone.txt,Lazio,nan,nan,1522,Altro,altro,altro,0,0,0,0,0,0,0,valido_localizzato
