tipo,numerosita
Comuni,817
Altro,692
CAV,437
Ente terzo settore - ETS (iscritto al RUNTS)[1],389
ASL (consultori familiari e altri servizi territoriali),349
"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",254
Procura Ordinaria/Tribunale/Corte d'appello,178
Scuole/Ufficio scolastico provinciale e regionale,175
Carabinieri/Polizia/altre forze dell'ordine,167
"Ospedale (Pronto soccorso, ecc.)",146
Servizi sociali comunali,123
Sindacati/Associazioni di categoria,122
Case Rifugio,111
Province/Città metropolitane,110
Organismi di parità,94
Prefettura,75
Questura,72
Procura Minorile/ Tribunale minorile,59
Ordine avvocati,56
Regioni/province Autonome,52
Polizia Municipale,48
Università,47
"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",39
Ordine medici e odontoiatri e Ordine farmacisti,32
Servizi per l'impiego,28
Ordine psicologi e Ordine assistenti sociali,27
"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",21
Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,19
Settore educativo comunale,10
Servizio abusi e maltrattamenti comunale,2
