regione,provincia,comune,nome_canonico,tipo_30,tipo_10,files,n_record_aggregati
Toscana,,,365giornialfemmile,Altro,altro,09_PISTOIA PROV .txt,1
Emilia-Romagna,,,ACER Bologna,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,2
Emilia-Romagna,Ferrara,Ferrara,AFM - Farmacie Comunali Ferrara,Altro,altro,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,AIDA,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Toscana,,,AIED,Altro,altro,09_PISA PREF E PROV.txt,1
Liguria,,,ANCI Liguria,Altro,altro,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,1
Emilia-Romagna,,,APE,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,ASP Cesena Valle del Savio,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,,ASP del Rubicone,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,,ASSOCASA,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,ASSPI,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Piacenza,Piacenza,Agenzia per il lavoro di Piacenza,Altro,altro,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,Agenzia regionale per il lavoro,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Bologna,Bologna,Alleanza delle Cooperative Italiane - Bologna,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,Ambito territoriale per la provincia di Forli-Cesena,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Bologna,Bologna,Arcidiocesi di Bologna,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,,,Articolazioni zonali delle conferenze dei sindaci del territorio provinciale,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,,,Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,,Associazione Consultorio per la Famiglia Don Giorgini,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,,Associazione Nazionale dei Comuni Italia - A.N.C.I,Altro,altro,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,,Aziende Casa del territorio metropolitano comunque denominate,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Piacenza,Piacenza,Banca d'Italia Filiale di Piacenza,Altro,altro,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
Toscana,,,CAM,Altro,altro,09_PISTOIA PROV .txt,1
Toscana,,,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,Altro,altro,09_APUANE_2015 Protocollo Prefettura.txt | 09_FIRENZE Linee-di-indirizzo2024.txt,2
Emilia-Romagna,,,CONFABITARE,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,CTSSM,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,Carcere,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,,Caritas Diocesana,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Rimini,Rimini,Casa Circondariale di Rimini,Altro,altro,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Toscana,,,Codice Rosa,Altro,altro,09_FIRENZE Linee-di-indirizzo2024.txt,1
Toscana,,,Comitato di Area Vasta,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Liguria,,,Commissione Territoriale,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,,,Comuni dell'Area Nord,Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
