regione_codice,regione,codice_soggetti_questionari,denominazione_soggetti_questionari,n_attori,attori,n_file,files
01,Piemonte,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],1,Liberitutti Società Cooperativa Sociale,1,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt
07,Liguria,1,CAV,13,Centro Antiviolenza Artemisia Gentileschi | Centro Antiviolenza Casa Pandora Margherita Ferro | Centro Antiviolenza ISV | Centro Antiviolenza Irene | Centro Antiviolenza Mai piu sola e Casa Rifugio Franca Viola | Centro Antiviolenza Mascherona e Casa Rifugio Elisa | Centro Antiviolenza Pandora | Centro Antiviolenza Telefono Donna | Centro Antiviolenza e Casa Rifugio Per non subire violenza | Centro per non subire violenza (da U.D.1 | Il Cerchio delle Relazioni Società Cooperativa Sociale - Centro Antiviolenza Mascherona | Telefono Donna Centro AntiViolenza CIF | Telefono Donna Centro AntiViolenza CIF APS,3,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,2,Case Rifugio,3,Casa Rifugio L'isola che c'e | Casa Rifugio Marina | Opera Diocesana Madonna dei Bambini Villaggio del Ragazzo,2,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,3,Comuni,6,Comune di Chiavari | Comune di Genova | Comune di La Spezia | Comune di Sanremo | Comune di Savona | Comune di residenza della donna,3,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,6,Servizi sociali comunali,3,Servizi Sociali degli Ambiti Territoriali | Servizio Sociale del Comune di residenza | Servizio Sociale del Comune dove viene reperita la donna,1,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt
07,Liguria,8,Province/Città metropolitane,1,Città Metropolitana di Genova,1,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,9,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,ATS di riferimento per residenza | Distretti Sociosanitari n. 14 | Distretti Sociosanitari n. 15 | Distretti Sociosanitari n. 16 | Rete dei servizi SAI | centri di accoglienza del sistema SAI del Comune di Genova,2,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt
07,Liguria,10,Regioni/province Autonome,1,Regione Liguria,1,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt
07,Liguria,11,"Ospedale (Pronto soccorso, ecc.)",7,DMPO Direzione Medica del Presidio Ospedaliero | Ente Ospedaliero Ospedali Galliera | IRCCS Istituto Giannina Gaslini | IRCCS Ospedale Policlinico San Martino | Ospedale Evangelico Internazionale | Pronto Soccorso del presidio ospedaliero di Lavagna | U.O. di Ostetricia e Ginecologia,2,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,12,ASL (consultori familiari e altri servizi territoriali),10,"A.S.L. 5 | AS.L. 1 | AS.L. 2 | AS.L. 3 | AS.L. 4 | Azienda Ligure Sanitaria (A.Li.Sa | Azienda Sanitaria Locale n. 4 ""Sistema Sanitario Regione Liguria | Dipartimento di Salute Mentale e delle Dipendenze dell'ASL n. 4 ""Sistema Sanitario Regione Liguria | Servizi Sanitari | Struttura Semplice Dipartimentale Consultorio Familiare dell'ASL n. 4 ""Sistema Sanitario Regione Liguria",3,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
