chiave,record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2
COMUNE DI CHIAVARI||Comuni||Genova||Liguria,001_0001,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,07,Liguria,Genova,Chiavari,Comune di Chiavari,Comune di Chiavari,COMUNE DI CHIAVARI,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,Capofila conferenza dei sindaci dell’Asl n. 4,,3,Comuni,3,Servizi comunali
COMUNE DI CHIAVARI||Comuni||Genova||Liguria,003_0027,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07,Liguria,Genova,Chiavari,Comune di Chiavari,Comune di Chiavari,COMUNE DI CHIAVARI,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,"Firmatario del protocollo, Comune capofila Conferenza dei Sindaci",,3,Comuni,3,Servizi comunali
REGIONE LIGURIA||Regioni/Province Autonome||||Liguria,001_0008,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,07,Liguria,,,Regione Liguria,Regione Liguria,REGIONE LIGURIA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,firmatario|attore,1,1,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE LIGURIA||Regioni/Province Autonome||||Liguria,003_0001,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07,Liguria,,,Regione Liguria,Regione Liguria,REGIONE LIGURIA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,Firmatario del protocollo,,10,Regioni/province Autonome,5,Regioni/province Autonome
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Liguria,001_0013,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,07,Liguria,,,Forze dell’Ordine,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,attore,1,0,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Liguria,002_0019,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,07,Liguria,,,FF.OO,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,,0,0,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
COMUNE DI GENOVA||Comuni||Genova||Liguria,002_0015,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,07,Liguria,Genova,Genova,Comune di Genova,Comune di Genova,COMUNE DI GENOVA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,attore,1,0,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI GENOVA||Comuni||Genova||Liguria,003_0002,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07,Liguria,Genova,Genova,Comune di Genova,Comune di Genova,COMUNE DI GENOVA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,3,Comuni,3,Servizi comunali
PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA||Procura Ordinaria/Tribunale/Corte d'appello||Genova||Liguria,003_0008,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07,Liguria,Genova,Genova,Procura Generale presso la Corte d’Appello di Genova,Procura Generale presso la Corte d'Appello di Genova,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA||Procura Ordinaria/Tribunale/Corte d'appello||Genova||Liguria,023_0049,09_GROSSETO 2022 fpdf.txt,07,Liguria,Genova,Genova,Procura Generale presso la Corte d'Appello di Genova,Procura Generale presso la Corte d'Appello di Genova,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,json,valido_localizzato,,0,0,0,,,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA||Procura Ordinaria/Tribunale/Corte d'appello||Genova||Liguria,029_0005,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,07,Liguria,Genova,Genova,Procura Generale presso la Corte d’Appello di Genova,Procura Generale presso la Corte d'Appello di Genova,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
CITTA METROPOLITANA DI BOLOGNA||Province/Città metropolitane||Bologna||Emilia-Romagna,004_0001,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Città metropolitana di Bologna,Città metropolitana di Bologna,CITTA METROPOLITANA DI BOLOGNA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,coordina accordo,,8,Province/Città metropolitane,10,Province/Città metropolitane
CITTA METROPOLITANA DI BOLOGNA||Province/Città metropolitane||Bologna||Emilia-Romagna,005_0001,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Città metropolitana di Bologna,Città metropolitana di Bologna,CITTA METROPOLITANA DI BOLOGNA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,8,Province/Città metropolitane,10,Province/Città metropolitane
CITTA METROPOLITANA DI BOLOGNA||Province/Città metropolitane||Bologna||Emilia-Romagna,008_0001,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08,Emilia-Romagna,Bologna,Bologna,Città Metropolitana di Bologna,Città Metropolitana di Bologna,CITTA METROPOLITANA DI BOLOGNA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,8,Province/Città metropolitane,10,Province/Città metropolitane
COMUNE DI BOLOGNA||Comuni||Bologna||Emilia-Romagna,004_0002,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Comune di Bologna,Comune di Bologna,COMUNE DI BOLOGNA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,,3,Comuni,3,Servizi comunali
COMUNE DI BOLOGNA||Comuni||Bologna||Emilia-Romagna,004_0020,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Comune di Bologna,Comune di Bologna,COMUNE DI BOLOGNA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,coinvolto storicamente e come erogatore di fondi,,3,Comuni,3,Servizi comunali
COMUNE DI BOLOGNA||Comuni||Bologna||Emilia-Romagna,005_0003,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Comune di Bologna,Comune di Bologna,COMUNE DI BOLOGNA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,3,Comuni,3,Servizi comunali
COMUNE DI BOLOGNA||Comuni||Bologna||Emilia-Romagna,005_0091,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Comune di Bologna,Comune di Bologna,COMUNE DI BOLOGNA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,3,Comuni,3,Servizi comunali
