record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2,n_record_aggregati,files,ruoli_documentali_aggregati
029_0021,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Autorità giudiziaria,Autorita giudiziaria,AUTORITA GIUDIZIARIA,Altro,Altro,Altro,nome,generico,,0,0,0,,Soggetto destinatario e coordinatore delle attività,,30,Altro,9,altro,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
029_0031,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Comunità di tipo familiare,Comunita di tipo familiare,COMUNITA DI TIPO FAMILIARE,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,Affido minori stranieri non accompagnati,,30,Altro,9,altro,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
020_0041,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Conferenza unificata Stato-Regioni,Conferenza unificata Stato-Regioni,CONFERENZA UNIFICATA STATO-REGIONI,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0034,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Consiglio d'Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0035,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Istat,Istat,ISTAT,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,Citato per indagini statistiche,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
022_0039,09_FIRENZE Linee-di-indirizzo2024.txt,09,Toscana,,,OMS,OMS,OMS,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,Riferimento per le linee guida su interventi,,30,Altro,9,altro,1,09_FIRENZE Linee-di-indirizzo2024.txt,
020_0033,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Organizzazione Mondiale della Sanita,Organizzazione Mondiale della Sanita,ORGANIZZAZIONE MONDIALE DELLA SANITA,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0031,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Organizzazione delle Nazioni Unite,Organizzazione delle Nazioni Unite,ORGANIZZAZIONE DELLE NAZIONI UNITE,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0040,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Presidenza del Consiglio dei Ministri,Presidenza del Consiglio dei Ministri,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,Altro,Altro,Altro,nome,da_escludere,,0,0,0,,,,30,Altro,9,altro,1,09_APUANE_2015 Protocollo Prefettura.txt,
029_0014,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Referenti Aziendali,Referenti Aziendali,REFERENTI AZIENDALI,Altro,Altro,Altro,nome,generico,,0,0,0,,Ruolo operativo nella Rete Codice Rosa,,30,Altro,9,altro,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
