regione_codice,regione,provincia_finale,comune_finale,nome_canonico,tipo_standard,codice_aggregazione_2,descrizione_aggregazione_2,stato_osservazione,files,n_record_aggregati
09,Toscana,,,365giornialfemmile,Altro,9,altro,valido_localizzato,09_PISTOIA PROV .txt,1
08,Emilia-Romagna,,,ACER Bologna,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,2
08,Emilia-Romagna,Ferrara,Ferrara,AFM - Farmacie Comunali Ferrara,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
08,Emilia-Romagna,,,AIDA,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
09,Toscana,,,AIED,Altro,9,altro,valido_localizzato,09_PISA PREF E PROV.txt,1
07,Liguria,,,ANCI Liguria,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,1
08,Emilia-Romagna,,,APE,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
08,Emilia-Romagna,,,ASP Cesena Valle del Savio,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,,,ASP del Rubicone,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,,,ASSOCASA,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
08,Emilia-Romagna,,,ASSPI,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
08,Emilia-Romagna,Piacenza,Piacenza,Agenzia per il lavoro di Piacenza,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
08,Emilia-Romagna,,,Agenzia regionale per il lavoro,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
08,Emilia-Romagna,Bologna,Bologna,Alleanza delle Cooperative Italiane - Bologna,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
08,Emilia-Romagna,,,Ambito territoriale per la provincia di Forli-Cesena,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,Bologna,Bologna,Arcidiocesi di Bologna,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
09,Toscana,,,Articolazioni zonali delle conferenze dei sindaci del territorio provinciale,Altro,9,altro,valido_localizzato,09_GROSSETO 2022 fpdf.txt,1
08,Emilia-Romagna,,,Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
08,Emilia-Romagna,,,Associazione Consultorio per la Famiglia Don Giorgini,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,,,Associazione Nazionale dei Comuni Italia - A.N.C.I,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
09,Toscana,,,Autorita giudiziaria,Altro,9,altro,generico,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
08,Emilia-Romagna,,,Aziende Casa del territorio metropolitano comunque denominate,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
08,Emilia-Romagna,Piacenza,Piacenza,Banca d'Italia Filiale di Piacenza,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
09,Toscana,,,CAM,Altro,9,altro,valido_localizzato,09_PISTOIA PROV .txt,1
09,Toscana,,,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,Altro,9,altro,valido_localizzato,09_APUANE_2015 Protocollo Prefettura.txt | 09_FIRENZE Linee-di-indirizzo2024.txt,2
08,Emilia-Romagna,,,CONFABITARE,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
08,Emilia-Romagna,,,CTSSM,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
08,Emilia-Romagna,,,Carcere,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
08,Emilia-Romagna,,,Caritas Diocesana,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,Rimini,Rimini,Casa Circondariale di Rimini,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
09,Toscana,,,Codice Rosa,Altro,9,altro,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,Comitato di Area Vasta,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
07,Liguria,,,Commissione Territoriale,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
08,Emilia-Romagna,,,Comuni dell'Area Nord,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
09,Toscana,,,Comunita di tipo familiare,Altro,9,altro,da_escludere,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
08,Emilia-Romagna,,,Conferenza Provinciale Permanente,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
08,Emilia-Romagna,,,Conferenza delle Elette,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
09,Toscana,,,Conferenza unificata Stato-Regioni,Altro,9,altro,da_escludere,09_APUANE_2015 Protocollo Prefettura.txt,1
08,Emilia-Romagna,,,Consigliera di Fiducia della Città metropolitana,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
