tipo,numerosita
Comuni,232
Altro,124
CAV,81
ASL (consultori familiari e altri servizi territoriali),68
Carabinieri/Polizia/altre forze dell'ordine,42
Ente terzo settore - ETS (iscritto al RUNTS)[1],41
Sindacati/Associazioni di categoria,41
Procura Ordinaria/Tribunale/Corte d'appello,38
Province/Città metropolitane,36
Servizi sociali comunali,34
"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",31
Scuole/Ufficio scolastico provinciale e regionale,22
Prefettura,22
"Ospedale (Pronto soccorso, ecc.)",22
Questura,21
Organismi di parità,20
Polizia Municipale,16
Regioni/province Autonome,14
Procura Minorile/ Tribunale minorile,14
"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",10
Università,8
Ordine avvocati,6
Case Rifugio,6
Servizi per l'impiego,6
"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",2
Ordine medici e odontoiatri e Ordine farmacisti,2
Settore educativo comunale,2
Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,1
