tipologia,numero
Comuni,17
Sindacati/Associazioni di categoria,9
ASL (consultori familiari e altri servizi territoriali),8
Organismi di parità,7
Prefettura,7
Altro,6
Province/Città metropolitane,6
CAV/Centri Antiviolenza,5
Polizia Municipale,5
Scuole/Ufficio scolastico provinciale e regionale,4
Carabinieri/Polizia/altre forze dell'ordine,3
Ente terzo settore - ETS (iscritto al RUNTS),2
Ordine avvocati,2
Procura Ordinaria/Tribunale/Corte d'appello,2
Questura,2
"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",1
"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",1
"Ospedale (Pronto soccorso, ecc.)",1
Università,1
