cluster,n_reti,n_regioni_pa,percentuale_reti
Enti territoriali / servizi comunali - Ambito regionale/Prov. Autonome,9,2,30.0
CAV e Case Rifugio - Ambito regionale/Prov. Autonome,4,2,13.3
Giustizia e forze dell'ordine - Ambito regionale/Prov. Autonome,3,2,10.0
Sanità e servizi territoriali - Ambito regionale/Prov. Autonome,3,2,10.0
Associazionismo - Ambito regionale/Prov. Autonome,2,2,6.7
Enti territoriali / servizi comunali - Area metropolitana/provinciale,2,2,6.7
Altri attori istituzionali / professionali - Ambito regionale/Prov. Autonome,1,1,3.3
Altro - Ambito regionale/Prov. Autonome,1,1,3.3
Altro - Area metropolitana/provinciale,1,1,3.3
Ambiti socio-sanitari - Ambito regionale/Prov. Autonome,1,1,3.3
Associazionismo - Ambito distrettuale - legale,1,1,3.3
CAV e Case Rifugio - Area metropolitana/provinciale,1,1,3.3
Enti territoriali / servizi comunali - Ambito sociale,1,1,3.3
