regione,tipologia_dei_soggetti,percentuale,n,tot_regione
Emilia-Romagna,Altri attori istituzionali / professionali,10.7,6,56
Emilia-Romagna,Altro,10.7,6,56
Emilia-Romagna,Associazionismo,19.6,11,56
Emilia-Romagna,CAV e Case Rifugio,7.1,4,56
Emilia-Romagna,Enti territoriali / servizi comunali,19.6,11,56
Emilia-Romagna,Giustizia e forze dell'ordine,16.1,9,56
Emilia-Romagna,Province/Città metropolitane,5.4,3,56
Emilia-Romagna,Sanità e servizi territoriali,10.7,6,56
Toscana,Altri attori istituzionali / professionali,22.2,4,18
Toscana,Ambiti socio-sanitari,5.6,1,18
Toscana,Enti territoriali / servizi comunali,55.6,10,18
Toscana,Giustizia e forze dell'ordine,5.6,1,18
Toscana,Province/Città metropolitane,11.1,2,18
nan,Altri attori istituzionali / professionali,13.3,2,15
nan,Associazionismo,6.7,1,15
nan,CAV e Case Rifugio,6.7,1,15
nan,Enti territoriali / servizi comunali,6.7,1,15
nan,Giustizia e forze dell'ordine,40.0,6,15
nan,Province/Città metropolitane,6.7,1,15
nan,Sanità e servizi territoriali,20.0,3,15
