id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO,Emilia-Romagna,Bologna,Ambito regionale/Prov. Autonome,0,Province/Città metropolitane,27,26,8,3
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,Emilia-Romagna,Bologna,Ambito regionale/Prov. Autonome,0,Servizi comunali,84,80,78,0
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023,Emilia-Romagna,Ferrara,Ambito regionale/Prov. Autonome,0,associazionismo,33,31,30,6
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped,Emilia-Romagna,Ferrara,Ambito regionale/Prov. Autonome,0,associazionismo,44,38,19,11
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def,Emilia-Romagna,nan,Ambito regionale/Prov. Autonome,0,associazionismo,24,20,17,12
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot,Emilia-Romagna,Rimini,Ambito regionale/Prov. Autonome,0,Servizi comunali,44,39,28,2
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,2406_rta_08_241015091621_4166---PROTOCOLLO_22,Emilia-Romagna,nan,Ambito regionale/Prov. Autonome,0,altro,35,32,17,3
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008,Emilia-Romagna,nan,Ambito regionale/Prov. Autonome,0,Settore giudiziario,42,30,15,15
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,2406_rta_08_241015091725_4166---Protoc-Prefett-2017,Emilia-Romagna,Modena,Ambito regionale/Prov. Autonome,0,Servizi comunali,38,30,30,5
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025,Emilia-Romagna,Ravenna,Ambito regionale/Prov. Autonome,0,Servizi comunali,14,11,9,0
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1),Emilia-Romagna,Piacenza,Ambito regionale/Prov. Autonome,0,Settore giudiziario,16,13,12,3
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,2406_rta_08_241015091917_4166---Protocollo2022-2024,Emilia-Romagna,Piacenza,Area metropolitana/provinciale,0,CAV,10,6,6,6
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,2406_rta_08_241015092005_4166---DG216-2024,Emilia-Romagna,nan,Area metropolitana/provinciale,0,associazionismo,14,14,0,14
08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,2406_rta_08_241015092024_4166---Protocollooperativo,Emilia-Romagna,nan,Area metropolitana/provinciale,0,Servizi comunali,31,29,0,0
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009,Emilia-Romagna,Ravenna,Ambito regionale/Prov. Autonome,0,Servizi comunali,22,20,18,5
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002),Liguria,nan,Ambito regionale/Prov. Autonome,0,altro,26,25,6,1
07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed,Liguria,nan,Ambito distrettuale - legale,0,associazionismo,25,12,10,0
07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,2406_rta_07_240916163956_4166---DGR477_2022_Protocollo,Liguria,nan,Ambito regionale/Prov. Autonome,0,Settore giudiziario,45,45,24,0
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA,Toscana,nan,Area metropolitana/provinciale,1,Servizi comunali,37,37,1,10
09_APUANE_2015 Protocollo Prefettura.txt,09_APUANE_2015 Protocollo Prefettura.txt,APUANE_2015 Protocollo Prefettura,Toscana,Massa-Carrara,Ambito regionale/Prov. Autonome,1,CAV,37,25,22,0
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,AREZZO Prot_2024-2026,Toscana,Arezzo,Ambito regionale/Prov. Autonome,0,Territorio,20,14,14,0
09_FIRENZE Linee-di-indirizzo2024.txt,09_FIRENZE Linee-di-indirizzo2024.txt,FIRENZE Linee-di-indirizzo2024,Toscana,nan,Ambito regionale/Prov. Autonome,0,Servizi comunali,31,19,10,0
09_GROSSETO 2022 fpdf.txt,09_GROSSETO 2022 fpdf.txt,GROSSETO 2022 fpdf,Toscana,Grosseto,Ambito regionale/Prov. Autonome,0,Servizi comunali,47,39,4,0
09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO,Toscana,Livorno,Ambito regionale/Prov. Autonome,0,Settore giudiziario,18,17,0,0
09_LUCCA PROV.txt,09_LUCCA PROV.txt,LUCCA PROV,Toscana,Lucca,Ambito regionale/Prov. Autonome,0,Territorio,12,12,12,1
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,PISA PREF E PROV,Toscana,Pisa,Ambito regionale/Prov. Autonome,0,Servizi comunali,60,59,59,5
09_PISTOIA PROV .txt,09_PISTOIA PROV .txt,PISTOIA PROV,Toscana,Pistoia,Ambito regionale/Prov. Autonome,0,Servizi comunali,36,34,36,0
09_PRATO PREF.txt,09_PRATO PREF.txt,PRATO PREF,Toscana,Prato,Ambito regionale/Prov. Autonome,0,Servizi comunali,19,17,18,1
09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2,Toscana,nan,Ambito regionale/Prov. Autonome,1,altro,10,2,2,0
09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008,Toscana,Siena,Ambito sociale,1,Servizi comunali,13,13,0,1
