id_rete,input_json,titolo_rete,file,regione,provincia,comune_soggetto,nome_soggetto,tipo_dettaglio,tipo_aggregato_10,macro_tipologia,ruolo_attore,ruolo_firmatario,ruolo_proponente,stato_osservazione
09_PISTOIA PROV .txt,all_risultati_enriched_2.4.json,PISTOIA PROV ,09_PISTOIA PROV .txt,Toscana,nan,nan,365giornialfemmile,Altro,altro,altro,0,1,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,ACER Bologna,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,Emilia-Romagna,Ferrara,Ferrara,AFM - Farmacie Comunali Ferrara,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,AIDA,Altro,altro,altro,1,1,0,valido_localizzato
09_PISA PREF E PROV.txt,all_risultati_enriched_2.4.json,PISA PREF E PROV,09_PISA PREF E PROV.txt,Toscana,nan,nan,AIED,Altro,altro,altro,1,1,0,valido_localizzato
07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,all_risultati_enriched_2.4.json,2406_rta_07_240916163956_4166---DGR477_2022_Protocollo,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,Liguria,nan,nan,ANCI Liguria,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,APE,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091621_4166---PROTOCOLLO_22,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,nan,nan,ASP Cesena Valle del Savio,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091621_4166---PROTOCOLLO_22,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,nan,nan,ASP del Rubicone,Altro,altro,altro,1,0,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,ASSOCASA,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,ASSPI,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015092005_4166---DG216-2024.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015092005_4166---DG216-2024,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Piacenza,Piacenza,Agenzia per il lavoro di Piacenza,Altro,altro,altro,1,0,1,valido_localizzato
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,nan,nan,Agenzia regionale per il lavoro,Altro,altro,altro,1,0,0,valido_localizzato
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Bologna,Bologna,Alleanza delle Cooperative Italiane - Bologna,Altro,altro,altro,1,1,1,valido_localizzato
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091621_4166---PROTOCOLLO_22,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,nan,nan,Ambito territoriale per la provincia di Forli-Cesena,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Bologna,Bologna,Arcidiocesi di Bologna,Altro,altro,altro,1,1,1,valido_localizzato
09_GROSSETO 2022 fpdf.txt,all_risultati_enriched_2.4.json,GROSSETO 2022 fpdf,09_GROSSETO 2022 fpdf.txt,Toscana,nan,nan,Articolazioni zonali delle conferenze dei sindaci del territorio provinciale,Altro,altro,altro,0,0,0,valido_localizzato
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,nan,nan,Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091621_4166---PROTOCOLLO_22,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,nan,nan,Associazione Consultorio per la Famiglia Don Giorgini,Altro,altro,altro,1,0,0,valido_localizzato
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Emilia-Romagna,nan,nan,Associazione Nazionale dei Comuni Italia - A.N.C.I,Altro,altro,altro,0,0,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,Aziende Casa del territorio metropolitano comunque denominate,Altro,altro,altro,1,0,0,valido_localizzato
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1),08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,Emilia-Romagna,Piacenza,Piacenza,Banca d'Italia Filiale di Piacenza,Altro,altro,altro,1,1,0,valido_localizzato
09_PISTOIA PROV .txt,all_risultati_enriched_2.4.json,PISTOIA PROV ,09_PISTOIA PROV .txt,Toscana,nan,nan,CAM,Altro,altro,altro,0,1,0,valido_localizzato
09_APUANE_2015 Protocollo Prefettura.txt,all_risultati_enriched_2.4.json,APUANE_2015 Protocollo Prefettura,09_APUANE_2015 Protocollo Prefettura.txt,Toscana,nan,nan,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,Altro,altro,altro,0,0,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,nan,nan,CONFABITARE,Altro,altro,altro,1,1,0,valido_localizzato
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,nan,nan,CTSSM,Altro,altro,altro,0,0,0,valido_localizzato
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,nan,nan,Carcere,Altro,altro,altro,0,0,0,valido_localizzato
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091621_4166---PROTOCOLLO_22,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,nan,nan,Caritas Diocesana,Altro,altro,altro,0,0,0,valido_localizzato
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Emilia-Romagna,Rimini,Rimini,Casa Circondariale di Rimini,Altro,altro,altro,1,1,0,valido_localizzato
