codice_regione,codice_provincia,numero_comuni,tot_prov,percentuale
1,1,312,312,100.0
1,103,74,74,100.0
1,2,82,82,100.0
1,3,87,87,100.0
1,4,247,247,100.0
1,5,117,117,100.0
1,6,187,187,100.0
1,96,74,74,100.0
10,54,59,59,100.0
10,55,33,33,100.0
11,109,40,40,100.0
11,41,50,50,100.0
11,42,47,47,100.0
11,43,55,55,100.0
11,44,33,33,100.0
12,56,60,60,100.0
12,57,73,73,100.0
12,58,121,121,100.0
12,59,33,33,100.0
12,60,91,91,100.0
13,66,108,108,100.0
13,67,47,47,100.0
13,68,46,46,100.0
13,69,104,104,100.0
14,70,84,84,100.0
14,94,52,52,100.0
15,61,104,104,100.0
15,62,78,78,100.0
15,63,92,92,100.0
15,64,118,118,100.0
15,65,158,158,100.0
16,110,10,10,100.0
16,71,61,61,100.0
16,72,41,41,100.0
16,73,29,29,100.0
16,74,20,20,100.0
16,75,96,96,100.0
17,76,100,100,100.0
17,77,31,31,100.0
18,101,27,27,100.0
18,102,50,50,100.0
18,78,150,150,100.0
18,79,80,80,100.0
18,80,97,97,100.0
19,81,25,25,100.0
19,82,82,82,100.0
19,83,108,108,100.0
19,84,43,43,100.0
19,85,22,22,100.0
19,86,20,20,100.0
19,87,58,58,100.0
19,88,12,12,100.0
19,89,21,21,100.0
2,7,74,74,100.0
20,111,107,107,100.0
20,90,92,92,100.0
20,91,74,74,100.0
20,92,17,17,100.0
20,95,87,87,100.0
3,108,55,55,100.0
3,12,136,136,100.0
3,13,147,147,100.0
3,14,77,77,100.0
3,15,133,133,100.0
3,16,243,243,100.0
3,17,205,205,100.0
3,18,185,185,100.0
3,19,113,113,100.0
3,20,64,64,100.0
3,97,84,84,100.0
3,98,60,60,100.0
4,21,116,116,100.0
4,22,166,166,100.0
5,23,98,98,100.0
5,24,113,113,100.0
5,25,60,60,100.0
5,26,94,94,100.0
5,27,44,44,100.0
5,28,101,101,100.0
5,29,50,50,100.0
6,30,134,134,100.0
6,31,25,25,100.0
6,32,6,6,100.0
6,93,50,50,100.0
7,10,67,67,100.0
7,11,32,32,100.0
7,8,66,66,100.0
7,9,69,69,100.0
8,33,46,46,100.0
8,34,44,44,100.0
8,35,42,42,100.0
8,36,47,47,100.0
8,37,55,55,100.0
8,38,21,21,100.0
8,39,18,18,100.0
8,40,30,30,100.0
8,99,27,27,100.0
9,100,7,7,100.0
9,45,17,17,100.0
9,46,33,33,100.0
9,47,20,20,100.0
9,48,41,41,100.0
9,49,19,19,100.0
9,50,37,37,100.0
9,51,36,36,100.0
9,52,35,35,100.0
9,53,28,28,100.0
