Categoria,Nome
comuni,Alba
comuni,Bra Partecipera Con Gli Altri Membri
regioni,Piemonte
consorzi,Socio Assistenziale Alba Langhe Roero
consorzi,Socio Assistenziale Del Cuneese
associazioni,Mai+Sole
generali,Ambito Del Presente Accordo Saranno Trattati Nel Rispetto Del Regolamento N. 679/2016.
generali,"Ambito Della Coesione Sociale Di Bra,"
generali,Ambito Della Prevenzione E Del Contrasto Alla Violenza Di Genere
generali,Ambito Delle Proprie Attivita Istituzionali Si Impegna A
generali,"Ambito Delle Proprie Sttivita Istituzionali E/O Statutarie, Azioni Di Prevenzione E Contrasto Alla"
