Categoria,Nome
province,Di Biella
province,Di Biella Deseo Ne Ge
province,Di Biella É Attiva Una Rete Antiviolenza Che Promuove Ed Adotta Strategie Condivise Volte Alla Prevenzione E Al Contrasto Del Fenomeno Avvalendosi
regioni,Piemonte O Da Altri Soggetti Istituzionali
consorzi,Capofila
consorzi,Intercomunale Servizi Socio Assistenziali Del Biellese Orientale C
consorzi,Iris
enti_pubblici,Azienda Sanitaria Locale Di Biella
enti_pubblici,Ordine E Gli Insegnanti Per Acquisire Linguaggi E Modalita D
enti_pubblici,Procura Della Repubblica
enti_pubblici,Procura Della Repubblica Di Biella
enti_pubblici,Procura Della Repubblica Di Biella Si Impegna A
enti_pubblici,Procura Della Repubblica Presso Il Tribunale Ordinario
enti_pubblici,Procura Generale Presso La
universita,Torino
universita,Torino Biella
universita,Torino E Ambito Territoriale N
associazioni,Altri Soggetti Pubblici E Privati
associazioni,Non
associazioni,Non Ora Quando
associazioni,Non Ora Qui
associazioni,Nuove
associazioni,Paviol Percorsi
associazioni,Percorsi Antiviolenza
associazioni,Sei Sola Uscire
associazioni,Sei Sola Uscire Dal Silenzio
associazioni,Sei Sola Uscire Dal Silenzio Contro La Violenza
associazioni,Si Impegna A
associazioni,The Child
associazioni,The Children
associazioni,The Children Italia Onlus
associazioni,Underground
associazioni,Vocididonne
associazioni,Volontariato L
generali,Ambito Del Presente Protocollo Al Fine Di Contribuire A Contrastare E Prevenire Il
generali,"Ambito Del Tavolo Provinciale Sulle Pari Opportunita, Di Divulgazione Delle Azioni Condotte E"
generali,Ambito Delle Proprie Competenze La Realizzazione Di Interventi A
generali,Ambito Famigliare E Lavorativo
generali,"Ambito Scolastico Provinciale E Con La Dirigenza Scolastica Autonoma, Nelle Attivita Di Divulgazione"
generali,Ambito Scolastico Territoriale N
generali,"Ambito Scolastico, Che Familiare, Lavorativo E Sociale"
generali,Ambito Territoriale N. 10 Di Biella
generali,Ambito Territoriale X Di Biella
generali,Azienda Sanitaria
generali,"Azienda Sanitaria Di Biella, Tramite Il Presidio Ospedaliero E Il Consultorio Familiare"
generali,"Azienda Sanitaria Locale Di Biella, Il Consorzio Intercomunale Servizi Socio Assistenziali Lr.Ls., Il"
generali,Dipartimento Culture Politica E Societa’ Dell’ Universita’ Degli Studi Di Torino
generali,"Dipartimento Culture, Politica E"
generali,"Dipartimento Culture, Politica E Societa Dell’ Universita Degli Studi Di Torino"
generali,Dipartimento Per Le Pari
generali,Miur
generali,Onlus
generali,Procura Della Repubblica Di Biella
generali,Procura Della Repubblica Di Biella Si Impegna A
generali,"Procura Della Repubblica Presso Il Tribunale Ordinario Di Biella, 1’Ambito Territoriale X Di"
generali,"Procura Della Repubblica, Universita Degli Studi"
generali,"Procura Della Repubblica, Universita Degli Studi Di Torino, Ambito Territoriale N. 10 Di"
generali,"Procura Generale Presso La Corte Di Appello Di Torino, Per La Valutazione E"
generali,Ufficio Scolastico Regionale Per Il Piemonte
generali,"Ufficio Scolastico Regionale Per Il Piemonte- Miur, Il Dipartimento Culture Politica E Societa"
generali,Ufficio X Ambito Territoriale Di Biella-Ufficio Scolastico Regionale Per Il Piemonte
