file,categoria,estratto
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).json,regioni,Piemonte E Disposizioni Per L'Istituzione Dei Bilanci Di Genere
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).json,comuni,Alba
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).json,comuni,Bra Partecipera Con Gli Altri Membri
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).json,associazioni,Mai+Sole
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).json,consorzi,Socio Assistenziale Alba Langhe Roero Il Presidente Dr
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).json,consorzi,Socio Assistenziale Del Cuneese
01_2406_rta_01_240904120005_4166---protocollo.json,regioni,Piemonte O Da Altri Soggetti Istituzionali
01_2406_rta_01_240904120005_4166---protocollo.json,province,Di Biella
01_2406_rta_01_240904120005_4166---protocollo.json,province,Di Biella Deseo Ne Ge
01_2406_rta_01_240904120005_4166---protocollo.json,province,Di Biella É Attiva Una Rete Antiviolenza Che Promuove Ed Adotta Strategie Condivise Volte Alla Prevenzione E Al Contrasto Del Fenomeno Avvalendosi
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Altri Soggetti Pubblici E Privati
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Non
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Non Ora Quando
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Non Ora Qui
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Nuove
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Paviol Percorsi
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Percorsi Antiviolenza
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Sei Sola Uscire
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Sei Sola Uscire Dal Silenzio
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Sei Sola Uscire Dal Silenzio Contro La Violenza
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Si Impegna A
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,The Child
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,The Children
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,The Children Italia Onlus
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Underground
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Vocididonne
01_2406_rta_01_240904120005_4166---protocollo.json,associazioni,Volontariato L
01_2406_rta_01_240904120005_4166---protocollo.json,consorzi,Capofila
01_2406_rta_01_240904120005_4166---protocollo.json,consorzi,Intercomunale Servizi Socio Assistenziali Del Biellese Orientale C
01_2406_rta_01_240904120005_4166---protocollo.json,consorzi,Iris
01_2406_rta_01_240904121349_4166---convenzione.json,regioni,Piemonte Sezione A N
01_2406_rta_01_240904121349_4166---convenzione.json,province,Di Biella La Presenza Di Un Centro Antiviolenza In Raccordo Con Casa Rifugio Facilmente Accessibile E Agibile
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Che Gestisce Le Attivita Di Volontariato In Casa Rifugio E Le
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Impegna A
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Non Ora Quando
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Nuove
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Odv E Associazione Di Promozione Sociale Paviol Percorsi
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Paviol Percorsi
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Paviol Percorsi Antiviolenza Aps
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Percorsi Antiviolenza
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Sei Sola
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Sei Sola Uscire Dal
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,The Children Italia Onlus
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Underground
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Vocididonne
01_2406_rta_01_240904121349_4166---convenzione.json,associazioni,Volontariato
01_2406_rta_01_240904121349_4166---convenzione.json,consorzi,
01_2406_rta_01_240904121349_4166---convenzione.json,consorzi,Cissabo
01_2406_rta_01_240904121349_4166---convenzione.json,consorzi,Intercomunale Servizi Socio Assistenziali
01_2406_rta_01_240904121349_4166---convenzione.json,consorzi,Iris F
01_2406_rta_01_240904122512_4166---accordoSFD.json,comuni,Biella
01_2406_rta_01_240904122512_4166---accordoSFD.json,comuni,Ultima Residenza
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,E Associazione Di Promozione Sociale Paviol
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Non Ora Quando
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Nuove
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Percorsi Antiviolenza
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Sei Sola Uscire
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Sei Sola Uscire Dal Silenzio Contro La Violenza
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Sei Sola Uscire Dal Silenzio Contro La Violenza E Finanziato Dal
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,The Children Italia
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Underground
01_2406_rta_01_240904122512_4166---accordoSFD.json,associazioni,Vocididonne
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,Biella
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,Cissabo
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,Intercomunale Servizi Socio Assistenziali I
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,Iris
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,Ogni Anno
01_2406_rta_01_240904122512_4166---accordoSFD.json,consorzi,Turnazione Per L'Individuazione Del Servizio Sociale Titolare
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Consorzio Intercomunale Per La Gestione Dei Servizi Socio-Assistenziali -
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Di Novara Con Il Centro Servizi Pari Opportunita Mettera A Cisposizione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Di Novara Consorzio Intercomunale Per La Gestione Dei Servizi Socioassistenziali Di Borgomanero Consorzio Intercomunale Per La Gestione Dei Servizi Socioassistenziali Di Castelletto Sopra Ticino Comune Di Arona E Comuni Convenzionati Consorzio Intercomunale Dei Servizi Socio-Assistenziali Zona Cusio-Omegna Premesso
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Di Novara Per I'Associazione Mamre Onlus Asvaciazione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,comuni,Arona
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,comuni,Borgomanero
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,comuni,Marano Ticino
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,associazioni,Onlus
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,associazioni,Onlus Asvaciazione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Castelletto Sopra Ticino Mettera A Disposizione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Dei Servizi Socio-Assistenziali
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Per La Gesti Socioassistenziali Di Castelletto Sopra Ade C Per Il Comune Di Aronaet Commun
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Per La Gestione Dei Servizi Socio-Assistenziali -
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Servizi Socio Assistenziali
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,regioni,Piemonte
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,A Disposizione
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,A Disposizione Personale Femminile
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Annualmente Dei Corsi Di Formazione
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Assicura
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Avvale Di Un Modello A Rete
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Base A Specifiche Competenze
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Con Propri Componenti Al Tavolo Regionale Di Coordinamento Dei Centri
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Donna Onlus
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Garantisce La
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Gli Interventi Di Accoglienza Di Cui Alla Presente Convenzione
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Impegna A Garantire Il Buon Funzionamento Dei
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Impegna A Predisporre E Tenere Un Sistema Di Documentazione Relativa Al Servizio
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Impegna Ad Assicurare
